Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 0 | Loss:   4.3115 | w0: 0.8896 | w1: 0.1104 | r0: 0.3078 | r1: 0.6019 | st0: 1.0046 | st1: 0.9952 | sd0: 1.0009 | sd1: 1.0176 | lr : 0.20000000 
Step: 1 | Loss:   1.5749 | w0: 0.8635 | w1: 0.1365 | r0: 0.2179 | r1: 0.5818 | st0: 0.9942 | st1: 0.9912 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
Step: 2 | Loss:   1.1117 | w0: 0.1764 | w1: 0.8236 | r0: 0.5839 | r1: 0.3445 | st0: 1.0088 | st1: 1.0128 | sd0: 0.9933 | sd1: 0.9892 | lr : 0.20000000 
Step: 3 | Loss:  24.6157 | w0: 0.3866 | w1: 0.6134 | r0: 0.2738 | r1: 0.2770 | st0: 0.9995 | st1: 0.9964 | sd0: 1.0121 | sd1: 0.9961 | lr : 0.20000000 
tick 0     kimg 0.0       time 7s           sec/tick 4.4     sec/kimg 137.59  maintenance 3.0    gpumem 12.82  reserved 12.85 
Step: 0 | Loss:  17.3337 | w0: 0.8438 | w1: 0.1562 | r0: 0.3520 | r1: 0.6487 | st0: 1.0021 | st1: 0.9928 | sd0: 1.0034 | sd1: 1.0197 | lr : 0.19999521 
Step: 1 | Loss:   0.4480 | w0: 0.8092 | w1: 0.1908 | r0: 0.2539 | r1: 0.6295 | st0: 0.9918 | st1: 0.9888 | sd0: 0.9800 | sd1: 1.0068 | lr : 0.19999521 
Step: 2 | Loss:   0.6354 | w0: 0.1255 | w1: 0.8745 | r0: 0.5346 | r1: 0.3909 | st0: 1.0112 | st1: 1.0151 | sd0: 0.9958 | sd1: 0.9916 | lr : 0.19999521 
Step: 3 | Loss:  40.0415 | w0: 0.4846 | w1: 0.5154 | r0: 0.2358 | r1: 0.2388 | st0: 1.0020 | st1: 0.9989 | sd0: 1.0144 | sd1: 0.9986 | lr : 0.19999521 
Step: 0 | Loss:  11.3044 | w0: 0.8516 | w1: 0.1484 | r0: 0.3566 | r1: 0.6641 | st0: 1.0005 | st1: 0.9908 | sd0: 1.0023 | sd1: 1.0186 | lr : 0.19998086 
Step: 1 | Loss:   0.4585 | w0: 0.7496 | w1: 0.2504 | r0: 0.2927 | r1: 0.6721 | st0: 0.9894 | st1: 0.9865 | sd0: 0.9796 | sd1: 1.0061 | lr : 0.19998086 
Step: 2 | Loss:   0.4669 | w0: 0.0957 | w1: 0.9043 | r0: 0.5089 | r1: 0.4275 | st0: 1.0128 | st1: 1.0158 | sd0: 0.9956 | sd1: 0.9910 | lr : 0.19998086 
Step: 3 | Loss:  39.9438 | w0: 0.4372 | w1: 0.5628 | r0: 0.2194 | r1: 0.2210 | st0: 1.0008 | st1: 0.9980 | sd0: 1.0131 | sd1: 0.9974 | lr : 0.19998086 
Step: 0 | Loss:   4.0040 | w0: 0.8779 | w1: 0.1221 | r0: 0.3449 | r1: 0.6627 | st0: 1.0000 | st1: 0.9903 | sd0: 1.0005 | sd1: 1.0169 | lr : 0.19995694 
Step: 1 | Loss:   1.3088 | w0: 0.7723 | w1: 0.2277 | r0: 0.3119 | r1: 0.6999 | st0: 0.9883 | st1: 0.9843 | sd0: 0.9783 | sd1: 1.0044 | lr : 0.19995694 
Step: 2 | Loss:   0.8663 | w0: 0.0842 | w1: 0.9158 | r0: 0.4919 | r1: 0.4703 | st0: 1.0128 | st1: 1.0146 | sd0: 0.9952 | sd1: 0.9901 | lr : 0.19995694 
Step: 3 | Loss:  16.2447 | w0: 0.3715 | w1: 0.6285 | r0: 0.2060 | r1: 0.2074 | st0: 0.9991 | st1: 0.9965 | sd0: 1.0114 | sd1: 0.9957 | lr : 0.19995694 
Step: 0 | Loss:   1.0952 | w0: 0.8998 | w1: 0.1002 | r0: 0.3238 | r1: 0.6514 | st0: 1.0002 | st1: 0.9902 | sd0: 0.9992 | sd1: 1.0156 | lr : 0.19992345 
Step: 1 | Loss:   2.2263 | w0: 0.7897 | w1: 0.2103 | r0: 0.3229 | r1: 0.7186 | st0: 0.9880 | st1: 0.9828 | sd0: 0.9774 | sd1: 1.0031 | lr : 0.19992345 
Step: 2 | Loss:   0.9030 | w0: 0.0731 | w1: 0.9269 | r0: 0.4773 | r1: 0.5036 | st0: 1.0131 | st1: 1.0141 | sd0: 0.9948 | sd1: 0.9892 | lr : 0.19992345 
Step: 3 | Loss:  30.4371 | w0: 0.3104 | w1: 0.6896 | r0: 0.1912 | r1: 0.1924 | st0: 0.9975 | st1: 0.9948 | sd0: 1.0096 | sd1: 0.9939 | lr : 0.19992345 
Step: 0 | Loss:   1.1536 | w0: 0.9127 | w1: 0.0873 | r0: 0.2950 | r1: 0.6276 | st0: 1.0012 | st1: 0.9906 | sd0: 0.9996 | sd1: 1.0157 | lr : 0.19988039 
Step: 1 | Loss:   1.9626 | w0: 0.7959 | w1: 0.2041 | r0: 0.3059 | r1: 0.7408 | st0: 0.9890 | st1: 0.9836 | sd0: 0.9775 | sd1: 1.0031 | lr : 0.19988039 
Step: 2 | Loss:   0.7945 | w0: 0.0690 | w1: 0.9310 | r0: 0.4700 | r1: 0.5419 | st0: 1.0136 | st1: 1.0145 | sd0: 0.9948 | sd1: 0.9893 | lr : 0.19988039 
Step: 3 | Loss:  31.7333 | w0: 0.2761 | w1: 0.7239 | r0: 0.1746 | r1: 0.1744 | st0: 0.9964 | st1: 0.9939 | sd0: 1.0085 | sd1: 0.9930 | lr : 0.19988039 
Step: 0 | Loss:   1.5012 | w0: 0.9187 | w1: 0.0813 | r0: 0.2759 | r1: 0.6168 | st0: 1.0012 | st1: 0.9902 | sd0: 1.0002 | sd1: 1.0158 | lr : 0.19982778 
Step: 1 | Loss:   1.6165 | w0: 0.7826 | w1: 0.2174 | r0: 0.3023 | r1: 0.7630 | st0: 0.9896 | st1: 0.9841 | sd0: 0.9779 | sd1: 1.0034 | lr : 0.19982778 
Step: 2 | Loss:   0.7974 | w0: 0.0702 | w1: 0.9298 | r0: 0.4585 | r1: 0.5527 | st0: 1.0143 | st1: 1.0154 | sd0: 0.9950 | sd1: 0.9895 | lr : 0.19982778 
Step: 3 | Loss:  16.0498 | w0: 0.2468 | w1: 0.7532 | r0: 0.1575 | r1: 0.1551 | st0: 0.9954 | st1: 0.9931 | sd0: 1.0074 | sd1: 0.9921 | lr : 0.19982778 
Step: 0 | Loss:   2.4632 | w0: 0.9214 | w1: 0.0786 | r0: 0.2612 | r1: 0.6093 | st0: 1.0012 | st1: 0.9897 | sd0: 1.0008 | sd1: 1.0160 | lr : 0.19976562 
Step: 1 | Loss:   1.2216 | w0: 0.7647 | w1: 0.2353 | r0: 0.3012 | r1: 0.7787 | st0: 0.9900 | st1: 0.9847 | sd0: 0.9784 | sd1: 1.0039 | lr : 0.19976562 
Step: 2 | Loss:   0.7214 | w0: 0.0742 | w1: 0.9258 | r0: 0.4472 | r1: 0.5601 | st0: 1.0150 | st1: 1.0163 | sd0: 0.9953 | sd1: 0.9901 | lr : 0.19976562 
Step: 3 | Loss:  22.0898 | w0: 0.2249 | w1: 0.7751 | r0: 0.1435 | r1: 0.1392 | st0: 0.9946 | st1: 0.9926 | sd0: 1.0066 | sd1: 0.9914 | lr : 0.19976562 
Step: 0 | Loss:   3.2674 | w0: 0.9244 | w1: 0.0756 | r0: 0.2478 | r1: 0.6027 | st0: 1.0010 | st1: 0.9892 | sd0: 1.0013 | sd1: 1.0162 | lr : 0.19969391 
Step: 1 | Loss:   0.9323 | w0: 0.7431 | w1: 0.2569 | r0: 0.3017 | r1: 0.7942 | st0: 0.9902 | st1: 0.9850 | sd0: 0.9788 | sd1: 1.0044 | lr : 0.19969391 
Step: 2 | Loss:   0.6327 | w0: 0.0814 | w1: 0.9186 | r0: 0.4330 | r1: 0.5589 | st0: 1.0156 | st1: 1.0171 | sd0: 0.9957 | sd1: 0.9907 | lr : 0.19969391 
Step: 3 | Loss:  20.9120 | w0: 0.2187 | w1: 0.7813 | r0: 0.1319 | r1: 0.1261 | st0: 0.9940 | st1: 0.9922 | sd0: 1.0062 | sd1: 0.9917 | lr : 0.19969391 
Step: 0 | Loss:   5.1943 | w0: 0.9243 | w1: 0.0757 | r0: 0.2368 | r1: 0.5987 | st0: 1.0005 | st1: 0.9885 | sd0: 1.0020 | sd1: 1.0165 | lr : 0.19961266 
Step: 1 | Loss:   0.5218 | w0: 0.7131 | w1: 0.2869 | r0: 0.3009 | r1: 0.8094 | st0: 0.9906 | st1: 0.9856 | sd0: 0.9795 | sd1: 1.0051 | lr : 0.19961266 
Step: 2 | Loss:   0.4992 | w0: 0.0895 | w1: 0.9105 | r0: 0.4182 | r1: 0.5596 | st0: 1.0163 | st1: 1.0182 | sd0: 0.9961 | sd1: 0.9914 | lr : 0.19961266 
Step: 3 | Loss:  22.8381 | w0: 0.2143 | w1: 0.7857 | r0: 0.1230 | r1: 0.1164 | st0: 0.9933 | st1: 0.9917 | sd0: 1.0059 | sd1: 0.9920 | lr : 0.19961266 
Step: 0 | Loss:   6.5523 | w0: 0.9252 | w1: 0.0748 | r0: 0.2277 | r1: 0.5963 | st0: 1.0000 | st1: 0.9877 | sd0: 1.0025 | sd1: 1.0167 | lr : 0.19952188 
