Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 0 | Loss:  14.8501 | w0: 0.3866 | w1: 0.6134 | r0: 0.3078 | r1: 0.6019 | st0: 1.0088 | st1: 1.0128 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
Step: 1 | Loss:   5.8730 | w0: 0.2897 | w1: 0.7103 | r0: 0.2179 | r1: 0.5818 | st0: 0.9995 | st1: 0.9964 | sd0: 0.9933 | sd1: 0.9892 | lr : 0.20000000 
Step: 2 | Loss:   1.1267 | w0: 0.5788 | w1: 0.4212 | r0: 0.5839 | r1: 0.3445 | st0: 1.0077 | st1: 0.9825 | sd0: 1.0121 | sd1: 0.9961 | lr : 0.20000000 
Step: 3 | Loss:   0.8111 | w0: 0.7786 | w1: 0.2214 | r0: 0.2738 | r1: 0.2770 | st0: 1.0194 | st1: 0.9975 | sd0: 1.0046 | sd1: 0.9952 | lr : 0.20000000 
Step: 4 | Loss:  91.4681 | w0: 0.5821 | w1: 0.4179 | r0: 0.5186 | r1: 0.8128 | st0: 0.9822 | st1: 1.0006 | sd0: 0.9942 | sd1: 0.9912 | lr : 0.20000000 
tick 0     kimg 0.0       time 7s           sec/tick 4.5     sec/kimg 139.37  maintenance 2.8    gpumem 15.48  reserved 15.52 
Step: 0 | Loss:   2.3377 | w0: 0.2970 | w1: 0.7030 | r0: 0.3520 | r1: 0.6487 | st0: 1.0063 | st1: 1.0104 | sd0: 0.9800 | sd1: 1.0068 | lr : 0.19999521 
Step: 1 | Loss:   2.4636 | w0: 0.2147 | w1: 0.7853 | r0: 0.2539 | r1: 0.6295 | st0: 0.9970 | st1: 0.9940 | sd0: 0.9958 | sd1: 0.9916 | lr : 0.19999521 
Step: 2 | Loss:   1.1031 | w0: 0.6721 | w1: 0.3279 | r0: 0.6315 | r1: 0.3909 | st0: 1.0052 | st1: 0.9803 | sd0: 1.0144 | sd1: 0.9986 | lr : 0.19999521 
Step: 3 | Loss:   1.4094 | w0: 0.8399 | w1: 0.1601 | r0: 0.2358 | r1: 0.2388 | st0: 1.0215 | st1: 1.0000 | sd0: 1.0070 | sd1: 0.9977 | lr : 0.19999521 
Step: 4 | Loss:  84.7932 | w0: 0.6751 | w1: 0.3249 | r0: 0.4686 | r1: 0.7805 | st0: 0.9844 | st1: 1.0031 | sd0: 0.9967 | sd1: 0.9936 | lr : 0.19999521 
Step: 0 | Loss:   4.7072 | w0: 0.2216 | w1: 0.7784 | r0: 0.3499 | r1: 0.6502 | st0: 1.0051 | st1: 1.0087 | sd0: 0.9817 | sd1: 1.0088 | lr : 0.19998086 
Step: 1 | Loss:   0.9129 | w0: 0.2201 | w1: 0.7799 | r0: 0.2617 | r1: 0.6231 | st0: 0.9962 | st1: 0.9944 | sd0: 0.9981 | sd1: 0.9938 | lr : 0.19998086 
Step: 2 | Loss:   1.0825 | w0: 0.7524 | w1: 0.2476 | r0: 0.6733 | r1: 0.4191 | st0: 1.0063 | st1: 0.9812 | sd0: 1.0166 | sd1: 1.0011 | lr : 0.19998086 
Step: 3 | Loss:   1.1287 | w0: 0.8867 | w1: 0.1133 | r0: 0.2612 | r1: 0.2565 | st0: 1.0235 | st1: 1.0025 | sd0: 1.0094 | sd1: 1.0002 | lr : 0.19998086 
Step: 4 | Loss:  61.2293 | w0: 0.7560 | w1: 0.2440 | r0: 0.4193 | r1: 0.7444 | st0: 0.9867 | st1: 1.0056 | sd0: 0.9992 | sd1: 0.9961 | lr : 0.19998086 
Step: 0 | Loss:  13.3760 | w0: 0.1964 | w1: 0.8036 | r0: 0.3277 | r1: 0.6238 | st0: 1.0055 | st1: 1.0095 | sd0: 0.9833 | sd1: 1.0106 | lr : 0.19995694 
Step: 1 | Loss:   1.3846 | w0: 0.2611 | w1: 0.7389 | r0: 0.2434 | r1: 0.5943 | st0: 0.9972 | st1: 0.9959 | sd0: 0.9997 | sd1: 0.9953 | lr : 0.19995694 
Step: 2 | Loss:   1.7290 | w0: 0.8054 | w1: 0.1946 | r0: 0.7126 | r1: 0.4499 | st0: 1.0065 | st1: 0.9820 | sd0: 1.0175 | sd1: 1.0025 | lr : 0.19995694 
Step: 3 | Loss:   1.6915 | w0: 0.9080 | w1: 0.0920 | r0: 0.2943 | r1: 0.2840 | st0: 1.0241 | st1: 1.0039 | sd0: 1.0106 | sd1: 1.0017 | lr : 0.19995694 
Step: 4 | Loss:  37.0874 | w0: 0.8220 | w1: 0.1780 | r0: 0.3716 | r1: 0.7046 | st0: 0.9890 | st1: 1.0078 | sd0: 1.0016 | sd1: 0.9985 | lr : 0.19995694 
Step: 0 | Loss:  27.9313 | w0: 0.1613 | w1: 0.8387 | r0: 0.3002 | r1: 0.5882 | st0: 1.0068 | st1: 1.0110 | sd0: 0.9852 | sd1: 1.0125 | lr : 0.19992345 
Step: 1 | Loss:   2.5946 | w0: 0.3220 | w1: 0.6780 | r0: 0.2187 | r1: 0.5577 | st0: 0.9989 | st1: 0.9977 | sd0: 1.0016 | sd1: 0.9970 | lr : 0.19992345 
Step: 2 | Loss:   1.7201 | w0: 0.8393 | w1: 0.1607 | r0: 0.7497 | r1: 0.4745 | st0: 1.0073 | st1: 0.9834 | sd0: 1.0172 | sd1: 1.0030 | lr : 0.19992345 
Step: 3 | Loss:   1.4287 | w0: 0.9151 | w1: 0.0849 | r0: 0.3203 | r1: 0.3082 | st0: 1.0239 | st1: 1.0046 | sd0: 1.0104 | sd1: 1.0023 | lr : 0.19992345 
Step: 4 | Loss:  47.1156 | w0: 0.8712 | w1: 0.1288 | r0: 0.3270 | r1: 0.6626 | st0: 0.9909 | st1: 1.0095 | sd0: 1.0040 | sd1: 1.0006 | lr : 0.19992345 
Step: 0 | Loss:  33.7189 | w0: 0.1581 | w1: 0.8419 | r0: 0.2726 | r1: 0.5492 | st0: 1.0081 | st1: 1.0126 | sd0: 0.9863 | sd1: 1.0133 | lr : 0.19988039 
Step: 1 | Loss:   2.7429 | w0: 0.3874 | w1: 0.6126 | r0: 0.1955 | r1: 0.5199 | st0: 1.0005 | st1: 0.9993 | sd0: 1.0015 | sd1: 0.9972 | lr : 0.19988039 
Step: 2 | Loss:   1.4457 | w0: 0.8552 | w1: 0.1448 | r0: 0.7837 | r1: 0.5058 | st0: 1.0066 | st1: 0.9842 | sd0: 1.0162 | sd1: 1.0027 | lr : 0.19988039 
Step: 3 | Loss:   1.0454 | w0: 0.9114 | w1: 0.0886 | r0: 0.3522 | r1: 0.3400 | st0: 1.0228 | st1: 1.0040 | sd0: 1.0095 | sd1: 1.0023 | lr : 0.19988039 
Step: 4 | Loss:  47.2094 | w0: 0.9061 | w1: 0.0939 | r0: 0.2855 | r1: 0.6209 | st0: 0.9923 | st1: 1.0107 | sd0: 1.0062 | sd1: 1.0023 | lr : 0.19988039 
Step: 0 | Loss:  45.2090 | w0: 0.1459 | w1: 0.8541 | r0: 0.2436 | r1: 0.5063 | st0: 1.0098 | st1: 1.0144 | sd0: 0.9877 | sd1: 1.0146 | lr : 0.19982778 
