Model already exists: ../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 0 | Loss: 166.9293 | w0: 0.5612 | w1: 0.4388 | r0: 0.3078 | r1: 0.6019 | st0: 0.9933 | st1: 0.9892 | sd0: 0.9880 | sd1: 0.9882 | lr : 0.20000000 
Step: 1 | Loss:  18.7100 | w0: 0.4163 | w1: 0.5837 | r0: 0.2179 | r1: 0.5818 | st0: 1.0121 | st1: 0.9961 | sd0: 1.0009 | sd1: 1.0176 | lr : 0.20000000 
Step: 2 | Loss: 233.5846 | w0: 0.5610 | w1: 0.4390 | r0: 0.5839 | r1: 0.3445 | st0: 1.0046 | st1: 0.9952 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
tick 0     kimg 0.0       time 8s           sec/tick 5.1     sec/kimg 320.72  maintenance 3.1    gpumem 11.84  reserved 11.86 
Step: 0 | Loss: 108.2207 | w0: 0.6561 | w1: 0.3439 | r0: 0.2669 | r1: 0.5531 | st0: 0.9958 | st1: 0.9916 | sd0: 0.9904 | sd1: 0.9906 | lr : 0.19999880 
Step: 1 | Loss:  11.3363 | w0: 0.5155 | w1: 0.4845 | r0: 0.1858 | r1: 0.5325 | st0: 1.0144 | st1: 0.9986 | sd0: 1.0034 | sd1: 1.0197 | lr : 0.19999880 
Step: 2 | Loss: 142.0826 | w0: 0.4614 | w1: 0.5386 | r0: 0.5346 | r1: 0.3008 | st0: 1.0070 | st1: 0.9977 | sd0: 0.9800 | sd1: 1.0068 | lr : 0.19999880 
Step: 0 | Loss:  57.0479 | w0: 0.7297 | w1: 0.2703 | r0: 0.2322 | r1: 0.5098 | st0: 0.9974 | st1: 0.9933 | sd0: 0.9928 | sd1: 0.9930 | lr : 0.19999521 
Step: 1 | Loss:   4.3874 | w0: 0.5832 | w1: 0.4168 | r0: 0.1587 | r1: 0.4827 | st0: 1.0166 | st1: 1.0011 | sd0: 1.0055 | sd1: 1.0216 | lr : 0.19999521 
Step: 2 | Loss:  65.4789 | w0: 0.3647 | w1: 0.6353 | r0: 0.4846 | r1: 0.2607 | st0: 1.0094 | st1: 1.0001 | sd0: 0.9820 | sd1: 1.0091 | lr : 0.19999521 
Step: 0 | Loss:  26.2415 | w0: 0.7895 | w1: 0.2105 | r0: 0.2001 | r1: 0.4721 | st0: 0.9993 | st1: 0.9948 | sd0: 0.9952 | sd1: 0.9954 | lr : 0.19998923 
Step: 1 | Loss:   3.2749 | w0: 0.6158 | w1: 0.3842 | r0: 0.1382 | r1: 0.4375 | st0: 1.0188 | st1: 1.0035 | sd0: 1.0078 | sd1: 1.0234 | lr : 0.19998923 
Step: 2 | Loss:  51.0494 | w0: 0.2787 | w1: 0.7213 | r0: 0.4366 | r1: 0.2242 | st0: 1.0117 | st1: 1.0025 | sd0: 0.9841 | sd1: 1.0115 | lr : 0.19998923 
Step: 0 | Loss:  12.5453 | w0: 0.8400 | w1: 0.1600 | r0: 0.1708 | r1: 0.4369 | st0: 1.0014 | st1: 0.9964 | sd0: 0.9968 | sd1: 0.9973 | lr : 0.19998086 
Step: 1 | Loss:   5.2776 | w0: 0.6376 | w1: 0.3624 | r0: 0.1225 | r1: 0.4001 | st0: 1.0200 | st1: 1.0052 | sd0: 1.0096 | sd1: 1.0249 | lr : 0.19998086 
Step: 2 | Loss: 115.0249 | w0: 0.2099 | w1: 0.7901 | r0: 0.3924 | r1: 0.1921 | st0: 1.0136 | st1: 1.0046 | sd0: 0.9853 | sd1: 1.0129 | lr : 0.19998086 
Step: 0 | Loss:   8.4112 | w0: 0.8773 | w1: 0.1227 | r0: 0.1468 | r1: 0.4058 | st0: 1.0034 | st1: 0.9977 | sd0: 0.9974 | sd1: 0.9985 | lr : 0.19997009 
