Model already exists: ../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 0 | Loss:  32.6378 | w0: 0.3866 | w1: 0.6134 | r0: 0.3078 | r1: 0.6019 | st0: 1.0088 | st1: 1.0128 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
Step: 1 | Loss:  12.9230 | w0: 0.2897 | w1: 0.7103 | r0: 0.2179 | r1: 0.5818 | st0: 0.9995 | st1: 0.9964 | sd0: 0.9933 | sd1: 0.9892 | lr : 0.20000000 
Step: 2 | Loss:   4.4682 | w0: 0.5788 | w1: 0.4212 | r0: 0.5839 | r1: 0.3445 | st0: 1.0077 | st1: 0.9825 | sd0: 1.0121 | sd1: 0.9961 | lr : 0.20000000 
Step: 3 | Loss:   4.8205 | w0: 0.7786 | w1: 0.2214 | r0: 0.2738 | r1: 0.2770 | st0: 1.0194 | st1: 0.9975 | sd0: 1.0046 | sd1: 0.9952 | lr : 0.20000000 
Step: 4 | Loss: 204.4502 | w0: 0.5821 | w1: 0.4179 | r0: 0.5186 | r1: 0.8128 | st0: 0.9822 | st1: 1.0006 | sd0: 0.9942 | sd1: 0.9912 | lr : 0.20000000 
tick 0     kimg 0.0       time 9s           sec/tick 6.0     sec/kimg 371.98  maintenance 3.0    gpumem 18.70  reserved 18.73 
Step: 0 | Loss:  73.3638 | w0: 0.1336 | w1: 0.8664 | r0: 0.1547 | r1: 0.3858 | st0: 1.0189 | st1: 1.0223 | sd0: 0.9857 | sd1: 1.0130 | lr : 0.19999880 
Step: 1 | Loss:   7.3953 | w0: 0.6663 | w1: 0.3337 | r0: 0.1084 | r1: 0.4037 | st0: 1.0097 | st1: 1.0063 | sd0: 1.0016 | sd1: 0.9973 | lr : 0.19999880 
Step: 2 | Loss:   3.9703 | w0: 0.7956 | w1: 0.2044 | r0: 0.5363 | r1: 0.2338 | st0: 1.0152 | st1: 0.9897 | sd0: 1.0184 | sd1: 1.0032 | lr : 0.19999880 
Step: 3 | Loss:   3.2620 | w0: 0.9017 | w1: 0.0983 | r0: 0.3169 | r1: 0.3105 | st0: 1.0243 | st1: 1.0035 | sd0: 1.0104 | sd1: 1.0012 | lr : 0.19999880 
Step: 4 | Loss: 137.1960 | w0: 0.7641 | w1: 0.2359 | r0: 0.4140 | r1: 0.7401 | st0: 0.9870 | st1: 1.0059 | sd0: 0.9994 | sd1: 0.9964 | lr : 0.19999880 
Step: 0 | Loss:  42.9256 | w0: 0.1310 | w1: 0.8690 | r0: 0.0895 | r1: 0.2368 | st0: 1.0247 | st1: 1.0262 | sd0: 0.9871 | sd1: 1.0102 | lr : 0.19999521 
Step: 1 | Loss:   5.4813 | w0: 0.7254 | w1: 0.2746 | r0: 0.0922 | r1: 0.3803 | st0: 1.0119 | st1: 1.0108 | sd0: 1.0001 | sd1: 1.0003 | lr : 0.19999521 
Step: 2 | Loss:   3.8738 | w0: 0.8338 | w1: 0.1662 | r0: 0.6213 | r1: 0.2294 | st0: 1.0157 | st1: 0.9929 | sd0: 1.0182 | sd1: 1.0049 | lr : 0.19999521 
Step: 3 | Loss:   3.1560 | w0: 0.9133 | w1: 0.0867 | r0: 0.4197 | r1: 0.4075 | st0: 1.0244 | st1: 1.0055 | sd0: 1.0091 | sd1: 1.0019 | lr : 0.19999521 
Step: 4 | Loss:  56.3662 | w0: 0.8904 | w1: 0.1096 | r0: 0.3109 | r1: 0.6443 | st0: 0.9921 | st1: 1.0090 | sd0: 1.0051 | sd1: 1.0010 | lr : 0.19999521 
Step: 0 | Loss:   2.8469 | w0: 0.1902 | w1: 0.8098 | r0: 0.0631 | r1: 0.1729 | st0: 1.0274 | st1: 1.0263 | sd0: 0.9853 | sd1: 1.0049 | lr : 0.19998923 
Step: 1 | Loss:   1.4672 | w0: 0.6133 | w1: 0.3867 | r0: 0.1256 | r1: 0.4529 | st0: 1.0068 | st1: 1.0100 | sd0: 0.9945 | sd1: 0.9997 | lr : 0.19998923 
Step: 2 | Loss:   1.8332 | w0: 0.8249 | w1: 0.1751 | r0: 0.7196 | r1: 0.2778 | st0: 1.0123 | st1: 0.9931 | sd0: 1.0155 | sd1: 1.0043 | lr : 0.19998923 
Step: 3 | Loss:   2.0790 | w0: 0.9079 | w1: 0.0921 | r0: 0.5312 | r1: 0.5086 | st0: 1.0230 | st1: 1.0060 | sd0: 1.0065 | sd1: 1.0013 | lr : 0.19998923 
Step: 4 | Loss:  31.8087 | w0: 0.9434 | w1: 0.0566 | r0: 0.2320 | r1: 0.5583 | st0: 0.9957 | st1: 1.0104 | sd0: 1.0094 | sd1: 1.0020 | lr : 0.19998923 
Step: 0 | Loss:  12.3873 | w0: 0.2624 | w1: 0.7376 | r0: 0.0518 | r1: 0.1655 | st0: 1.0281 | st1: 1.0237 | sd0: 0.9833 | sd1: 1.0003 | lr : 0.19998086 
Step: 1 | Loss:   4.4095 | w0: 0.4709 | w1: 0.5291 | r0: 0.1910 | r1: 0.5691 | st0: 0.9997 | st1: 1.0051 | sd0: 0.9891 | sd1: 0.9977 | lr : 0.19998086 
Step: 2 | Loss:   1.3923 | w0: 0.7951 | w1: 0.2049 | r0: 0.8040 | r1: 0.3629 | st0: 1.0069 | st1: 0.9906 | sd0: 1.0115 | sd1: 1.0025 | lr : 0.19998086 
Step: 3 | Loss:   2.6667 | w0: 0.8872 | w1: 0.1128 | r0: 0.6032 | r1: 0.5878 | st0: 1.0196 | st1: 1.0047 | sd0: 1.0027 | sd1: 0.9995 | lr : 0.19998086 
Step: 4 | Loss:  53.8361 | w0: 0.9617 | w1: 0.0383 | r0: 0.1965 | r1: 0.5073 | st0: 0.9926 | st1: 1.0097 | sd0: 1.0070 | sd1: 0.9995 | lr : 0.19998086 
Step: 0 | Loss:  23.9197 | w0: 0.2822 | w1: 0.7178 | r0: 0.0441 | r1: 0.1499 | st0: 1.0286 | st1: 1.0214 | sd0: 0.9836 | sd1: 0.9985 | lr : 0.19997009 
Step: 1 | Loss:   6.4500 | w0: 0.3056 | w1: 0.6944 | r0: 0.2461 | r1: 0.6511 | st0: 0.9971 | st1: 1.0043 | sd0: 0.9860 | sd1: 0.9971 | lr : 0.19997009 
Step: 2 | Loss:   1.7307 | w0: 0.7248 | w1: 0.2752 | r0: 0.8056 | r1: 0.3458 | st0: 1.0074 | st1: 0.9919 | sd0: 1.0079 | sd1: 1.0007 | lr : 0.19997009 
Step: 3 | Loss:   2.5158 | w0: 0.8647 | w1: 0.1353 | r0: 0.5649 | r1: 0.5630 | st0: 1.0179 | st1: 1.0041 | sd0: 0.9987 | sd1: 0.9971 | lr : 0.19997009 
Step: 4 | Loss:  26.6058 | w0: 0.9690 | w1: 0.0310 | r0: 0.1806 | r1: 0.4809 | st0: 0.9878 | st1: 1.0077 | sd0: 1.0021 | sd1: 0.9958 | lr : 0.19997009 
Step: 0 | Loss:   3.1599 | w0: 0.2086 | w1: 0.7914 | r0: 0.0397 | r1: 0.1356 | st0: 1.0295 | st1: 1.0208 | sd0: 0.9876 | sd1: 1.0006 | lr : 0.19995694 
Step: 1 | Loss:   0.7940 | w0: 0.1454 | w1: 0.8546 | r0: 0.2532 | r1: 0.6526 | st0: 1.0001 | st1: 1.0102 | sd0: 0.9861 | sd1: 1.0011 | lr : 0.19995694 
Step: 2 | Loss:   0.4830 | w0: 0.6134 | w1: 0.3866 | r0: 0.7476 | r1: 0.2451 | st0: 1.0118 | st1: 0.9971 | sd0: 1.0070 | sd1: 1.0010 | lr : 0.19995694 
Step: 3 | Loss:   1.1306 | w0: 0.8634 | w1: 0.1366 | r0: 0.4568 | r1: 0.4550 | st0: 1.0199 | st1: 1.0063 | sd0: 0.9964 | sd1: 0.9958 | lr : 0.19995694 
Step: 4 | Loss:  57.9533 | w0: 0.9725 | w1: 0.0275 | r0: 0.1683 | r1: 0.4669 | st0: 0.9848 | st1: 1.0063 | sd0: 0.9985 | sd1: 0.9934 | lr : 0.19995694 
Step: 0 | Loss:   4.2760 | w0: 0.1386 | w1: 0.8614 | r0: 0.0455 | r1: 0.1730 | st0: 1.0275 | st1: 1.0170 | sd0: 0.9922 | sd1: 1.0036 | lr : 0.19994139 
Step: 1 | Loss:   1.6181 | w0: 0.0778 | w1: 0.9222 | r0: 0.2529 | r1: 0.5852 | st0: 1.0029 | st1: 1.0160 | sd0: 0.9869 | sd1: 1.0050 | lr : 0.19994139 
Step: 2 | Loss:   0.7421 | w0: 0.4697 | w1: 0.5303 | r0: 0.6835 | r1: 0.1599 | st0: 1.0152 | st1: 1.0020 | sd0: 1.0062 | sd1: 1.0004 | lr : 0.19994139 
Step: 3 | Loss:   0.8913 | w0: 0.8599 | w1: 0.1401 | r0: 0.3711 | r1: 0.3725 | st0: 1.0209 | st1: 1.0074 | sd0: 0.9936 | sd1: 0.9937 | lr : 0.19994139 
