Model already exists: ../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 0 | Loss: 168.9619 | w0: 0.5612 | w1: 0.4388 | r0: 0.3078 | r1: 0.6019 | st0: 0.9867 | st1: 0.9784 | sd0: 0.9880 | sd1: 0.9882 | lr : 0.20000000 
Step: 1 | Loss:  17.7131 | w0: 0.4163 | w1: 0.5837 | r0: 0.2179 | r1: 0.5818 | st0: 1.0241 | st1: 0.9923 | sd0: 1.0009 | sd1: 1.0176 | lr : 0.20000000 
Step: 2 | Loss: 199.6572 | w0: 0.5610 | w1: 0.4390 | r0: 0.5839 | r1: 0.3445 | st0: 1.0092 | st1: 0.9905 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
tick 0     kimg 0.0       time 12s          sec/tick 6.1     sec/kimg 382.40  maintenance 5.9    gpumem 21.35  reserved 21.43 
Step: 0 | Loss: 114.0043 | w0: 0.4615 | w1: 0.5385 | r0: 0.3520 | r1: 0.6487 | st0: 0.9916 | st1: 0.9833 | sd0: 0.9904 | sd1: 0.9906 | lr : 0.19999880 
Step: 1 | Loss:  22.2698 | w0: 0.5155 | w1: 0.4845 | r0: 0.1858 | r1: 0.5325 | st0: 1.0288 | st1: 0.9972 | sd0: 1.0034 | sd1: 1.0197 | lr : 0.19999880 
Step: 2 | Loss: 219.7382 | w0: 0.6560 | w1: 0.3440 | r0: 0.6315 | r1: 0.3008 | st0: 1.0042 | st1: 0.9954 | sd0: 0.9759 | sd1: 1.0019 | lr : 0.19999880 
Step: 0 | Loss: 111.9020 | w0: 0.3866 | w1: 0.6134 | r0: 0.3894 | r1: 0.6855 | st0: 0.9918 | st1: 0.9881 | sd0: 0.9927 | sd1: 0.9928 | lr : 0.19999521 
Step: 1 | Loss:  18.7530 | w0: 0.5195 | w1: 0.4805 | r0: 0.1906 | r1: 0.4857 | st0: 1.0324 | st1: 1.0022 | sd0: 1.0053 | sd1: 1.0213 | lr : 0.19999521 
Step: 2 | Loss: 208.1418 | w0: 0.5890 | w1: 0.4110 | r0: 0.6079 | r1: 0.2612 | st0: 1.0045 | st1: 0.9995 | sd0: 0.9753 | sd1: 1.0019 | lr : 0.19999521 
Step: 0 | Loss: 113.6630 | w0: 0.3106 | w1: 0.6894 | r0: 0.4281 | r1: 0.7231 | st0: 0.9896 | st1: 0.9882 | sd0: 0.9950 | sd1: 0.9950 | lr : 0.19998923 
Step: 1 | Loss:  18.9228 | w0: 0.4853 | w1: 0.5147 | r0: 0.2103 | r1: 0.4500 | st0: 1.0351 | st1: 1.0072 | sd0: 1.0074 | sd1: 1.0230 | lr : 0.19998923 
Step: 2 | Loss: 171.1716 | w0: 0.5058 | w1: 0.4942 | r0: 0.5722 | r1: 0.2253 | st0: 1.0061 | st1: 1.0040 | sd0: 0.9740 | sd1: 1.0018 | lr : 0.19998923 
Step: 0 | Loss:  88.4392 | w0: 0.2825 | w1: 0.7175 | r0: 0.4504 | r1: 0.7303 | st0: 0.9875 | st1: 0.9902 | sd0: 0.9972 | sd1: 0.9972 | lr : 0.19998086 
Step: 1 | Loss:  20.9330 | w0: 0.4774 | w1: 0.5226 | r0: 0.2031 | r1: 0.4113 | st0: 1.0384 | st1: 1.0119 | sd0: 1.0093 | sd1: 1.0245 | lr : 0.19998086 
Step: 2 | Loss: 169.7433 | w0: 0.4194 | w1: 0.5806 | r0: 0.5337 | r1: 0.1956 | st0: 1.0064 | st1: 1.0076 | sd0: 0.9726 | sd1: 1.0010 | lr : 0.19998086 
Step: 0 | Loss:  60.9668 | w0: 0.2738 | w1: 0.7262 | r0: 0.4633 | r1: 0.7249 | st0: 0.9865 | st1: 0.9929 | sd0: 0.9990 | sd1: 0.9990 | lr : 0.19997009 
Step: 1 | Loss:  22.2955 | w0: 0.4702 | w1: 0.5298 | r0: 0.2019 | r1: 0.3771 | st0: 1.0411 | st1: 1.0160 | sd0: 1.0108 | sd1: 1.0257 | lr : 0.19997009 
Step: 2 | Loss: 144.4456 | w0: 0.3371 | w1: 0.6629 | r0: 0.4936 | r1: 0.1681 | st0: 1.0057 | st1: 1.0110 | sd0: 0.9715 | sd1: 1.0010 | lr : 0.19997009 
Step: 0 | Loss:  42.9069 | w0: 0.2727 | w1: 0.7273 | r0: 0.4701 | r1: 0.7148 | st0: 0.9861 | st1: 0.9958 | sd0: 1.0004 | sd1: 1.0003 | lr : 0.19995694 
Step: 1 | Loss:  23.7821 | w0: 0.4809 | w1: 0.5191 | r0: 0.1952 | r1: 0.3454 | st0: 1.0438 | st1: 1.0198 | sd0: 1.0118 | sd1: 1.0264 | lr : 0.19995694 
Step: 2 | Loss: 147.1095 | w0: 0.2677 | w1: 0.7323 | r0: 0.4551 | r1: 0.1435 | st0: 1.0035 | st1: 1.0124 | sd0: 0.9703 | sd1: 0.9998 | lr : 0.19995694 
Step: 0 | Loss:  47.9169 | w0: 0.2816 | w1: 0.7184 | r0: 0.4683 | r1: 0.7005 | st0: 0.9862 | st1: 0.9984 | sd0: 1.0014 | sd1: 1.0009 | lr : 0.19994139 
Step: 1 | Loss:  22.1985 | w0: 0.4899 | w1: 0.5101 | r0: 0.1938 | r1: 0.3246 | st0: 1.0449 | st1: 1.0224 | sd0: 1.0123 | sd1: 1.0268 | lr : 0.19994139 
Step: 2 | Loss: 147.4984 | w0: 0.2138 | w1: 0.7862 | r0: 0.4215 | r1: 0.1215 | st0: 1.0012 | st1: 1.0124 | sd0: 0.9692 | sd1: 0.9988 | lr : 0.19994139 
