Model already exists: ../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 0 | Loss:  13.4557 | w0: 0.8896 | w1: 0.1104 | r0: 0.3078 | r1: 0.6019 | st0: 1.0092 | st1: 0.9905 | sd0: 1.0009 | sd1: 1.0176 | lr : 0.20000000 
Step: 1 | Loss:   7.1094 | w0: 0.8635 | w1: 0.1365 | r0: 0.2179 | r1: 0.5818 | st0: 0.9884 | st1: 0.9824 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
Step: 2 | Loss:   7.0681 | w0: 0.1764 | w1: 0.8236 | r0: 0.5839 | r1: 0.3445 | st0: 1.0175 | st1: 1.0256 | sd0: 0.9933 | sd1: 0.9892 | lr : 0.20000000 
Step: 3 | Loss:  51.6959 | w0: 0.3866 | w1: 0.6134 | r0: 0.2738 | r1: 0.2770 | st0: 0.9990 | st1: 0.9929 | sd0: 1.0121 | sd1: 0.9961 | lr : 0.20000000 
tick 0     kimg 0.0       time 13s          sec/tick 6.5     sec/kimg 543.04  maintenance 6.3    gpumem 22.46  reserved 22.53 
Step: 0 | Loss:  36.5606 | w0: 0.8438 | w1: 0.1562 | r0: 0.3520 | r1: 0.6487 | st0: 1.0042 | st1: 0.9855 | sd0: 1.0034 | sd1: 1.0197 | lr : 0.19999933 
Step: 1 | Loss:   3.3153 | w0: 0.8092 | w1: 0.1908 | r0: 0.2539 | r1: 0.6295 | st0: 0.9835 | st1: 0.9776 | sd0: 0.9800 | sd1: 1.0068 | lr : 0.19999933 
Step: 2 | Loss:  11.4763 | w0: 0.2421 | w1: 0.7579 | r0: 0.6315 | r1: 0.3909 | st0: 1.0223 | st1: 1.0302 | sd0: 0.9958 | sd1: 0.9916 | lr : 0.19999933 
Step: 3 | Loss:  97.0961 | w0: 0.4846 | w1: 0.5154 | r0: 0.2358 | r1: 0.2388 | st0: 1.0040 | st1: 0.9979 | sd0: 1.0144 | sd1: 0.9986 | lr : 0.19999933 
Step: 0 | Loss:  35.4060 | w0: 0.8684 | w1: 0.1316 | r0: 0.3222 | r1: 0.6192 | st0: 1.0072 | st1: 0.9883 | sd0: 1.0037 | sd1: 1.0195 | lr : 0.19999730 
Step: 1 | Loss:   2.6111 | w0: 0.7881 | w1: 0.2119 | r0: 0.2397 | r1: 0.6735 | st0: 0.9810 | st1: 0.9734 | sd0: 0.9805 | sd1: 1.0071 | lr : 0.19999730 
Step: 2 | Loss:   5.2022 | w0: 0.3150 | w1: 0.6850 | r0: 0.6663 | r1: 0.4356 | st0: 1.0203 | st1: 1.0293 | sd0: 0.9977 | sd1: 0.9934 | lr : 0.19999730 
Step: 3 | Loss:  88.5808 | w0: 0.5709 | w1: 0.4291 | r0: 0.2018 | r1: 0.2053 | st0: 1.0086 | st1: 1.0023 | sd0: 1.0163 | sd1: 1.0006 | lr : 0.19999730 
Step: 0 | Loss:  20.1885 | w0: 0.8945 | w1: 0.1055 | r0: 0.2932 | r1: 0.5890 | st0: 1.0091 | st1: 0.9905 | sd0: 1.0027 | sd1: 1.0184 | lr : 0.19999393 
Step: 1 | Loss:   1.9430 | w0: 0.8016 | w1: 0.1984 | r0: 0.2262 | r1: 0.7127 | st0: 0.9804 | st1: 0.9698 | sd0: 0.9800 | sd1: 1.0060 | lr : 0.19999393 
Step: 2 | Loss:   1.7905 | w0: 0.3092 | w1: 0.6908 | r0: 0.6585 | r1: 0.4383 | st0: 1.0178 | st1: 1.0276 | sd0: 0.9971 | sd1: 0.9935 | lr : 0.19999393 
Step: 3 | Loss:  52.7965 | w0: 0.5346 | w1: 0.4654 | r0: 0.1747 | r1: 0.1812 | st0: 1.0071 | st1: 1.0019 | sd0: 1.0152 | sd1: 0.9997 | lr : 0.19999393 
Step: 0 | Loss:   8.6774 | w0: 0.9148 | w1: 0.0852 | r0: 0.2721 | r1: 0.5702 | st0: 1.0116 | st1: 0.9919 | sd0: 1.0012 | sd1: 1.0171 | lr : 0.19998922 
Step: 1 | Loss:   3.7295 | w0: 0.8239 | w1: 0.1761 | r0: 0.2122 | r1: 0.7427 | st0: 0.9791 | st1: 0.9659 | sd0: 0.9792 | sd1: 1.0048 | lr : 0.19998922 
Step: 2 | Loss:   2.7614 | w0: 0.3296 | w1: 0.6704 | r0: 0.6661 | r1: 0.4577 | st0: 1.0151 | st1: 1.0251 | sd0: 0.9968 | sd1: 0.9937 | lr : 0.19998922 
Step: 3 | Loss:  70.4083 | w0: 0.4980 | w1: 0.5020 | r0: 0.1498 | r1: 0.1586 | st0: 1.0061 | st1: 1.0016 | sd0: 1.0140 | sd1: 0.9986 | lr : 0.19998922 
Step: 0 | Loss:   9.9842 | w0: 0.9119 | w1: 0.0881 | r0: 0.2847 | r1: 0.5753 | st0: 1.0103 | st1: 0.9909 | sd0: 1.0017 | sd1: 1.0171 | lr : 0.19998315 
Step: 1 | Loss:   2.1384 | w0: 0.8033 | w1: 0.1967 | r0: 0.2208 | r1: 0.7735 | st0: 0.9800 | st1: 0.9664 | sd0: 0.9795 | sd1: 1.0049 | lr : 0.19998315 
Step: 2 | Loss:   1.4408 | w0: 0.2979 | w1: 0.7021 | r0: 0.6448 | r1: 0.4490 | st0: 1.0153 | st1: 1.0258 | sd0: 0.9963 | sd1: 0.9938 | lr : 0.19998315 
Step: 3 | Loss:  47.0322 | w0: 0.4505 | w1: 0.5495 | r0: 0.1370 | r1: 0.1479 | st0: 1.0048 | st1: 1.0008 | sd0: 1.0126 | sd1: 0.9973 | lr : 0.19998315 
Step: 0 | Loss:  13.9799 | w0: 0.9081 | w1: 0.0919 | r0: 0.2991 | r1: 0.5831 | st0: 1.0092 | st1: 0.9898 | sd0: 1.0020 | sd1: 1.0171 | lr : 0.19997574 
Step: 1 | Loss:   3.0285 | w0: 0.7733 | w1: 0.2267 | r0: 0.2338 | r1: 0.7992 | st0: 0.9792 | st1: 0.9663 | sd0: 0.9800 | sd1: 1.0053 | lr : 0.19997574 
Step: 2 | Loss:   2.5402 | w0: 0.2708 | w1: 0.7292 | r0: 0.6242 | r1: 0.4509 | st0: 1.0170 | st1: 1.0267 | sd0: 0.9966 | sd1: 0.9944 | lr : 0.19997574 
Step: 3 | Loss:  37.5952 | w0: 0.3892 | w1: 0.6108 | r0: 0.1284 | r1: 0.1421 | st0: 1.0038 | st1: 1.0000 | sd0: 1.0109 | sd1: 0.9955 | lr : 0.19997574 
Step: 0 | Loss:  23.1096 | w0: 0.8959 | w1: 0.1041 | r0: 0.3200 | r1: 0.6018 | st0: 1.0073 | st1: 0.9878 | sd0: 1.0030 | sd1: 1.0178 | lr : 0.19996698 
Step: 1 | Loss:   2.2934 | w0: 0.7413 | w1: 0.2587 | r0: 0.2472 | r1: 0.8204 | st0: 0.9795 | st1: 0.9681 | sd0: 0.9807 | sd1: 1.0061 | lr : 0.19996698 
Step: 2 | Loss:   2.3711 | w0: 0.2393 | w1: 0.7607 | r0: 0.6003 | r1: 0.4438 | st0: 1.0191 | st1: 1.0282 | sd0: 0.9967 | sd1: 0.9947 | lr : 0.19996698 
Step: 3 | Loss:  62.8170 | w0: 0.3248 | w1: 0.6752 | r0: 0.1224 | r1: 0.1391 | st0: 1.0027 | st1: 0.9988 | sd0: 1.0091 | sd1: 0.9936 | lr : 0.19996698 
Step: 0 | Loss:  33.3888 | w0: 0.8858 | w1: 0.1142 | r0: 0.3291 | r1: 0.6147 | st0: 1.0063 | st1: 0.9861 | sd0: 1.0041 | sd1: 1.0185 | lr : 0.19995687 
Step: 1 | Loss:   1.5441 | w0: 0.7032 | w1: 0.2968 | r0: 0.2599 | r1: 0.8361 | st0: 0.9792 | st1: 0.9701 | sd0: 0.9815 | sd1: 1.0070 | lr : 0.19995687 
