Model already exists: ../epd-solver/src/lsun_bedroom_ldm/model.ckpt
The vq-f4 model already exists: ../epd-solver/models/ldm_models/first_stage_models/vq-f4/model.ckpt
Loading the pre-trained diffusion model from "../epd-solver/src/lsun_bedroom_ldm/model.ckpt"...
Global Step: 1900000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 274.06 M params.
Keeping EMAs of 370.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 3, 64, 64) = 12288 dimensions.
making attention of type 'vanilla' with 512 in_channels
Restored from models/ldm_models/first_stage_models/vq-f4/model.ckpt with 0 missing and 55 unexpected keys
Training LatentDiffusion as an unconditional model.
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  51.9735 | w0: 0.2333 | w1: 0.7667 | r0: 0.6147 | r1: 0.2085 | sd0: 1.0076 | sd1: 1.0071 | lr : 0.20000000 
Step: 1 | Loss:   5.6497 | w0: 0.4366 | w1: 0.5634 | r0: 0.4591 | r1: 0.3564 | sd0: 0.9739 | sd1: 1.0053 | lr : 0.20000000 
Step: 2 | Loss:  19.8579 | w0: 0.5696 | w1: 0.4304 | r0: 0.2184 | r1: 0.2804 | sd0: 1.0088 | sd1: 1.0013 | lr : 0.20000000 
Step: 3 | Loss:  75.0247 | w0: 0.6018 | w1: 0.3982 | r0: 0.1927 | r1: 0.5519 | sd0: 1.0012 | sd1: 1.0009 | lr : 0.20000000 
tick 0     kimg 0.0       time 39s          sec/tick 20.7    sec/kimg 1723.52 maintenance 18.1   gpumem 22.86  reserved 22.92 
Step: 0 | Loss:   3.7274 | w0: 0.0790 | w1: 0.9210 | r0: 0.7453 | r1: 0.2543 | sd0: 1.0001 | sd1: 0.9996 | lr : 0.19999933 
Step: 1 | Loss:  15.0963 | w0: 0.7029 | w1: 0.2971 | r0: 0.5949 | r1: 0.4918 | sd0: 0.9692 | sd1: 0.9984 | lr : 0.19999933 
Step: 2 | Loss:  10.9856 | w0: 0.3534 | w1: 0.6466 | r0: 0.3029 | r1: 0.3761 | sd0: 1.0034 | sd1: 0.9957 | lr : 0.19999933 
Step: 3 | Loss: 116.0098 | w0: 0.7612 | w1: 0.2388 | r0: 0.2574 | r1: 0.4590 | sd0: 1.0058 | sd1: 1.0055 | lr : 0.19999933 
Step: 0 | Loss:  11.8773 | w0: 0.0400 | w1: 0.9600 | r0: 0.8098 | r1: 0.1864 | sd0: 0.9958 | sd1: 0.9969 | lr : 0.19999730 
Step: 1 | Loss:  21.7026 | w0: 0.7277 | w1: 0.2723 | r0: 0.5975 | r1: 0.5342 | sd0: 0.9695 | sd1: 0.9969 | lr : 0.19999730 
Step: 2 | Loss:  15.8023 | w0: 0.3775 | w1: 0.6225 | r0: 0.2901 | r1: 0.3682 | sd0: 1.0026 | sd1: 0.9968 | lr : 0.19999730 
Step: 3 | Loss: 116.4523 | w0: 0.8709 | w1: 0.1291 | r0: 0.2008 | r1: 0.3639 | sd0: 1.0105 | sd1: 1.0099 | lr : 0.19999730 
Step: 0 | Loss:   4.3723 | w0: 0.0320 | w1: 0.9680 | r0: 0.8547 | r1: 0.1889 | sd0: 0.9948 | sd1: 1.0004 | lr : 0.19999393 
Step: 1 | Loss:   8.3476 | w0: 0.6330 | w1: 0.3670 | r0: 0.5222 | r1: 0.5104 | sd0: 0.9724 | sd1: 0.9986 | lr : 0.19999393 
Step: 2 | Loss:   5.2548 | w0: 0.4771 | w1: 0.5229 | r0: 0.2512 | r1: 0.3367 | sd0: 1.0043 | sd1: 1.0003 | lr : 0.19999393 
Step: 3 | Loss:  84.3286 | w0: 0.9194 | w1: 0.0806 | r0: 0.1551 | r1: 0.3065 | sd0: 1.0151 | sd1: 1.0141 | lr : 0.19999393 
Step: 0 | Loss:  19.9684 | w0: 0.0300 | w1: 0.9700 | r0: 0.8819 | r1: 0.2182 | sd0: 0.9946 | sd1: 1.0046 | lr : 0.19998922 
Step: 1 | Loss:   1.4941 | w0: 0.4736 | w1: 0.5264 | r0: 0.4727 | r1: 0.4892 | sd0: 0.9763 | sd1: 1.0021 | lr : 0.19998922 
Step: 2 | Loss:   5.8547 | w0: 0.6005 | w1: 0.3995 | r0: 0.2019 | r1: 0.3198 | sd0: 1.0075 | sd1: 1.0046 | lr : 0.19998922 
Step: 3 | Loss:  57.5009 | w0: 0.9461 | w1: 0.0539 | r0: 0.1115 | r1: 0.2673 | sd0: 1.0199 | sd1: 1.0180 | lr : 0.19998922 
