Model already exists: ../epd-solver/src/lsun_bedroom_ldm/model.ckpt
The vq-f4 model already exists: ../epd-solver/models/ldm_models/first_stage_models/vq-f4/model.ckpt
Loading the pre-trained diffusion model from "../epd-solver/src/lsun_bedroom_ldm/model.ckpt"...
Global Step: 1900000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 274.06 M params.
Keeping EMAs of 370.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 3, 64, 64) = 12288 dimensions.
making attention of type 'vanilla' with 512 in_channels
Restored from models/ldm_models/first_stage_models/vq-f4/model.ckpt with 0 missing and 55 unexpected keys
Training LatentDiffusion as an unconditional model.
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss: 155.6122 | w0: 0.6018 | w1: 0.3982 | r0: 0.6147 | r1: 0.2085 | sd0: 0.9739 | sd1: 1.0053 | lr : 0.10000000 
Step: 1 | Loss:   7.9720 | w0: 0.8623 | w1: 0.1377 | r0: 0.4591 | r1: 0.3564 | sd0: 1.0088 | sd1: 1.0013 | lr : 0.10000000 
Step: 2 | Loss:   2.8069 | w0: 0.5896 | w1: 0.4104 | r0: 0.2184 | r1: 0.2804 | sd0: 1.0012 | sd1: 1.0009 | lr : 0.10000000 
Step: 3 | Loss:   6.3603 | w0: 0.2625 | w1: 0.7375 | r0: 0.1927 | r1: 0.5519 | sd0: 0.9893 | sd1: 1.0095 | lr : 0.10000000 
Step: 4 | Loss: 102.3029 | w0: 0.5097 | w1: 0.4903 | r0: 0.6486 | r1: 0.6399 | sd0: 0.9931 | sd1: 1.0003 | lr : 0.10000000 
tick 0     kimg 0.0       time 1m 11s       sec/tick 29.7    sec/kimg 1858.17 maintenance 41.4   gpumem 22.57  reserved 22.65 
Step: 0 | Loss:  22.9026 | w0: 0.4379 | w1: 0.5621 | r0: 0.5483 | r1: 0.1632 | sd0: 0.9770 | sd1: 1.0094 | lr : 0.09999943 
Step: 1 | Loss:   1.2171 | w0: 0.9259 | w1: 0.0741 | r0: 0.3715 | r1: 0.3652 | sd0: 1.0130 | sd1: 1.0056 | lr : 0.09999943 
Step: 2 | Loss:   2.8065 | w0: 0.5927 | w1: 0.4073 | r0: 0.2162 | r1: 0.2819 | sd0: 1.0050 | sd1: 1.0048 | lr : 0.09999943 
Step: 3 | Loss:   5.3153 | w0: 0.2252 | w1: 0.7748 | r0: 0.2060 | r1: 0.4857 | sd0: 0.9923 | sd1: 1.0124 | lr : 0.09999943 
Step: 4 | Loss:  60.5509 | w0: 0.4054 | w1: 0.5946 | r0: 0.5992 | r1: 0.5900 | sd0: 0.9957 | sd1: 1.0029 | lr : 0.09999943 
