Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:   4.3861 | w0: 0.8896 | w1: 0.1104 | r0: 0.3078 | r1: 0.6019 | st0: 1.0183 | st1: 0.9809 | sd0: 1.0009 | sd1: 1.0176 | lr : 0.20000000 
Step: 1 | Loss:   0.9718 | w0: 0.8635 | w1: 0.1365 | r0: 0.2179 | r1: 0.5818 | st0: 0.9768 | st1: 0.9648 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
Step: 2 | Loss:   1.4028 | w0: 0.1764 | w1: 0.8236 | r0: 0.5839 | r1: 0.3445 | st0: 1.0350 | st1: 1.0511 | sd0: 0.9933 | sd1: 0.9892 | lr : 0.20000000 
Step: 3 | Loss:  91.8037 | w0: 0.3866 | w1: 0.6134 | r0: 0.2738 | r1: 0.2770 | st0: 0.9980 | st1: 0.9858 | sd0: 1.0121 | sd1: 0.9961 | lr : 0.20000000 
tick 0     kimg 0.0       time 8s           sec/tick 4.6     sec/kimg 286.06  maintenance 3.0    gpumem 7.57   reserved 7.60  
Step: 0 | Loss:   0.8348 | w0: 0.9331 | w1: 0.0669 | r0: 0.1908 | r1: 0.4998 | st0: 1.0298 | st1: 0.9880 | sd0: 0.9976 | sd1: 1.0145 | lr : 0.19999880 
Step: 1 | Loss:   1.5972 | w0: 0.6811 | w1: 0.3189 | r0: 0.3245 | r1: 0.7058 | st0: 0.9498 | st1: 0.9371 | sd0: 0.9837 | sd1: 1.0110 | lr : 0.19999880 
Step: 2 | Loss:   0.6379 | w0: 0.0822 | w1: 0.9178 | r0: 0.4762 | r1: 0.2537 | st0: 1.0140 | st1: 1.0306 | sd0: 0.9987 | sd1: 0.9945 | lr : 0.19999880 
Step: 3 | Loss:  56.8176 | w0: 0.5707 | w1: 0.4293 | r0: 0.2061 | r1: 0.2088 | st0: 1.0166 | st1: 1.0044 | sd0: 1.0163 | sd1: 1.0008 | lr : 0.19999880 
Step: 0 | Loss:  10.0498 | w0: 0.8689 | w1: 0.1311 | r0: 0.1624 | r1: 0.5512 | st0: 1.0111 | st1: 0.9689 | sd0: 1.0024 | sd1: 1.0187 | lr : 0.19999521 
Step: 1 | Loss:   4.5865 | w0: 0.5579 | w1: 0.4421 | r0: 0.3583 | r1: 0.7006 | st0: 0.9505 | st1: 0.9478 | sd0: 0.9883 | sd1: 1.0158 | lr : 0.19999521 
Step: 2 | Loss:   1.0584 | w0: 0.0419 | w1: 0.9581 | r0: 0.4149 | r1: 0.1854 | st0: 1.0153 | st1: 1.0389 | sd0: 1.0028 | sd1: 0.9993 | lr : 0.19999521 
Step: 3 | Loss:  93.6879 | w0: 0.7338 | w1: 0.2662 | r0: 0.1554 | r1: 0.1656 | st0: 1.0262 | st1: 1.0142 | sd0: 1.0207 | sd1: 1.0053 | lr : 0.19999521 
Step: 0 | Loss:  28.5650 | w0: 0.8170 | w1: 0.1830 | r0: 0.2049 | r1: 0.6219 | st0: 0.9961 | st1: 0.9546 | sd0: 1.0051 | sd1: 1.0202 | lr : 0.19998923 
Step: 1 | Loss:  10.2250 | w0: 0.6202 | w1: 0.3798 | r0: 0.3171 | r1: 0.6278 | st0: 0.9581 | st1: 0.9580 | sd0: 0.9906 | sd1: 1.0168 | lr : 0.19998923 
Step: 2 | Loss:   2.7549 | w0: 0.0206 | w1: 0.9794 | r0: 0.3601 | r1: 0.1317 | st0: 1.0166 | st1: 1.0467 | sd0: 1.0045 | sd1: 0.9990 | lr : 0.19998923 
Step: 3 | Loss:  68.3463 | w0: 0.6704 | w1: 0.3296 | r0: 0.1335 | r1: 0.1433 | st0: 1.0128 | st1: 1.0097 | sd0: 1.0181 | sd1: 1.0042 | lr : 0.19998923 
Step: 0 | Loss:  15.6227 | w0: 0.8666 | w1: 0.1334 | r0: 0.2315 | r1: 0.6364 | st0: 0.9925 | st1: 0.9558 | sd0: 1.0038 | sd1: 1.0178 | lr : 0.19998086 
Step: 1 | Loss:   2.7627 | w0: 0.7628 | w1: 0.2372 | r0: 0.2405 | r1: 0.5334 | st0: 0.9680 | st1: 0.9686 | sd0: 0.9912 | sd1: 1.0160 | lr : 0.19998086 
Step: 2 | Loss:   1.1469 | w0: 0.0111 | w1: 0.9889 | r0: 0.3190 | r1: 0.0931 | st0: 1.0167 | st1: 1.0555 | sd0: 1.0052 | sd1: 0.9977 | lr : 0.19998086 
Step: 3 | Loss:  56.8472 | w0: 0.6133 | w1: 0.3867 | r0: 0.1303 | r1: 0.1335 | st0: 0.9963 | st1: 1.0002 | sd0: 1.0164 | sd1: 1.0036 | lr : 0.19998086 
Step: 0 | Loss:   9.4340 | w0: 0.9045 | w1: 0.0955 | r0: 0.2408 | r1: 0.5865 | st0: 0.9991 | st1: 0.9697 | sd0: 1.0030 | sd1: 1.0166 | lr : 0.19997009 
Step: 1 | Loss:   0.8249 | w0: 0.8611 | w1: 0.1389 | r0: 0.1784 | r1: 0.4442 | st0: 0.9820 | st1: 0.9813 | sd0: 0.9912 | sd1: 1.0154 | lr : 0.19997009 
Step: 2 | Loss:   0.9923 | w0: 0.0069 | w1: 0.9931 | r0: 0.2919 | r1: 0.0697 | st0: 1.0160 | st1: 1.0634 | sd0: 1.0056 | sd1: 0.9956 | lr : 0.19997009 
Step: 3 | Loss:  35.8974 | w0: 0.5003 | w1: 0.4997 | r0: 0.1276 | r1: 0.1266 | st0: 0.9763 | st1: 0.9839 | sd0: 1.0133 | sd1: 1.0005 | lr : 0.19997009 
Step: 0 | Loss:   3.2981 | w0: 0.9300 | w1: 0.0700 | r0: 0.2558 | r1: 0.5621 | st0: 1.0016 | st1: 0.9781 | sd0: 1.0015 | sd1: 1.0150 | lr : 0.19995694 
Step: 1 | Loss:   0.1935 | w0: 0.9099 | w1: 0.0901 | r0: 0.1506 | r1: 0.3854 | st0: 0.9864 | st1: 0.9899 | sd0: 0.9905 | sd1: 1.0147 | lr : 0.19995694 
Step: 2 | Loss:   0.7892 | w0: 0.0051 | w1: 0.9949 | r0: 0.2760 | r1: 0.0590 | st0: 1.0163 | st1: 1.0672 | sd0: 1.0058 | sd1: 0.9934 | lr : 0.19995694 
Step: 3 | Loss:  39.4326 | w0: 0.3861 | w1: 0.6139 | r0: 0.1277 | r1: 0.1229 | st0: 0.9579 | st1: 0.9661 | sd0: 1.0101 | sd1: 0.9967 | lr : 0.19995694 
Step: 0 | Loss:   0.7506 | w0: 0.9411 | w1: 0.0589 | r0: 0.2931 | r1: 0.5685 | st0: 0.9961 | st1: 0.9801 | sd0: 1.0000 | sd1: 1.0135 | lr : 0.19994139 
