Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  14.8869 | w0: 0.3866 | w1: 0.6134 | r0: 0.3078 | r1: 0.6019 | st0: 1.0350 | st1: 1.0511 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
Step: 1 | Loss:  11.7452 | w0: 0.2897 | w1: 0.7103 | r0: 0.2179 | r1: 0.5818 | st0: 0.9980 | st1: 0.9858 | sd0: 0.9933 | sd1: 0.9892 | lr : 0.20000000 
Step: 2 | Loss:   3.4516 | w0: 0.5788 | w1: 0.4212 | r0: 0.5839 | r1: 0.3445 | st0: 1.0308 | st1: 0.9298 | sd0: 1.0121 | sd1: 0.9961 | lr : 0.20000000 
Step: 3 | Loss:   0.9466 | w0: 0.7786 | w1: 0.2214 | r0: 0.2738 | r1: 0.2770 | st0: 1.0778 | st1: 0.9899 | sd0: 1.0046 | sd1: 0.9952 | lr : 0.20000000 
Step: 4 | Loss: 103.5637 | w0: 0.5821 | w1: 0.4179 | r0: 0.5186 | r1: 0.8128 | st0: 0.9288 | st1: 1.0026 | sd0: 0.9942 | sd1: 0.9912 | lr : 0.20000000 
tick 0     kimg 0.0       time 8s           sec/tick 4.8     sec/kimg 298.06  maintenance 3.5    gpumem 8.90   reserved 8.93  
Step: 0 | Loss:  29.9480 | w0: 0.1416 | w1: 0.8584 | r0: 0.1542 | r1: 0.3851 | st0: 1.0727 | st1: 1.0935 | sd0: 0.9852 | sd1: 1.0125 | lr : 0.19999880 
Step: 1 | Loss:   4.7337 | w0: 0.4497 | w1: 0.5503 | r0: 0.1634 | r1: 0.4929 | st0: 1.0358 | st1: 1.0167 | sd0: 0.9973 | sd1: 0.9931 | lr : 0.19999880 
Step: 2 | Loss:   1.3927 | w0: 0.7572 | w1: 0.2428 | r0: 0.5771 | r1: 0.3361 | st0: 1.0529 | st1: 0.9597 | sd0: 1.0122 | sd1: 0.9962 | lr : 0.19999880 
Step: 3 | Loss:   1.0983 | w0: 0.6953 | w1: 0.3047 | r0: 0.3187 | r1: 0.3205 | st0: 1.0847 | st1: 1.0182 | sd0: 1.0017 | sd1: 0.9924 | lr : 0.19999880 
Step: 4 | Loss:  89.3736 | w0: 0.7641 | w1: 0.2359 | r0: 0.4140 | r1: 0.7401 | st0: 0.9479 | st1: 1.0236 | sd0: 0.9994 | sd1: 0.9964 | lr : 0.19999880 
Step: 0 | Loss:   9.3064 | w0: 0.1827 | w1: 0.8173 | r0: 0.1036 | r1: 0.3252 | st0: 1.0905 | st1: 1.1130 | sd0: 0.9838 | sd1: 1.0095 | lr : 0.19999521 
Step: 1 | Loss:   1.0821 | w0: 0.3190 | w1: 0.6810 | r0: 0.1926 | r1: 0.5531 | st0: 1.0264 | st1: 1.0068 | sd0: 0.9966 | sd1: 0.9927 | lr : 0.19999521 
Step: 2 | Loss:   0.4214 | w0: 0.8011 | w1: 0.1989 | r0: 0.6567 | r1: 0.4041 | st0: 1.0372 | st1: 0.9496 | sd0: 1.0133 | sd1: 0.9972 | lr : 0.19999521 
Step: 3 | Loss:   0.6975 | w0: 0.7817 | w1: 0.2183 | r0: 0.4182 | r1: 0.4174 | st0: 1.0682 | st1: 1.0038 | sd0: 1.0044 | sd1: 0.9952 | lr : 0.19999521 
Step: 4 | Loss:  71.5788 | w0: 0.8893 | w1: 0.1107 | r0: 0.3240 | r1: 0.6516 | st0: 0.9683 | st1: 1.0457 | sd0: 1.0049 | sd1: 1.0021 | lr : 0.19999521 
Step: 0 | Loss:  19.5444 | w0: 0.1538 | w1: 0.8462 | r0: 0.0928 | r1: 0.3798 | st0: 1.0893 | st1: 1.1057 | sd0: 0.9848 | sd1: 1.0112 | lr : 0.19998923 
Step: 1 | Loss:   4.5781 | w0: 0.2198 | w1: 0.7802 | r0: 0.2282 | r1: 0.5984 | st0: 1.0123 | st1: 0.9836 | sd0: 0.9983 | sd1: 0.9936 | lr : 0.19998923 
Step: 2 | Loss:   1.7587 | w0: 0.8038 | w1: 0.1962 | r0: 0.7417 | r1: 0.4939 | st0: 1.0150 | st1: 0.9292 | sd0: 1.0135 | sd1: 0.9975 | lr : 0.19998923 
Step: 3 | Loss:   0.7253 | w0: 0.7441 | w1: 0.2559 | r0: 0.4767 | r1: 0.4870 | st0: 1.0476 | st1: 0.9817 | sd0: 1.0037 | sd1: 0.9956 | lr : 0.19998923 
Step: 4 | Loss:  33.7630 | w0: 0.9438 | w1: 0.0562 | r0: 0.2507 | r1: 0.5921 | st0: 0.9555 | st1: 1.0323 | sd0: 1.0009 | sd1: 0.9976 | lr : 0.19998923 
Step: 0 | Loss:   0.5729 | w0: 0.2558 | w1: 0.7442 | r0: 0.0947 | r1: 0.4631 | st0: 1.0961 | st1: 1.1065 | sd0: 0.9811 | sd1: 1.0075 | lr : 0.19998086 
Step: 1 | Loss:   0.6724 | w0: 0.2257 | w1: 0.7743 | r0: 0.2171 | r1: 0.5561 | st0: 1.0073 | st1: 0.9662 | sd0: 0.9964 | sd1: 0.9900 | lr : 0.19998086 
Step: 2 | Loss:   0.9348 | w0: 0.7108 | w1: 0.2892 | r0: 0.7942 | r1: 0.5716 | st0: 0.9942 | st1: 0.9113 | sd0: 1.0108 | sd1: 0.9951 | lr : 0.19998086 
Step: 3 | Loss:   0.5918 | w0: 0.6293 | w1: 0.3707 | r0: 0.4437 | r1: 0.4825 | st0: 1.0259 | st1: 0.9582 | sd0: 1.0012 | sd1: 0.9940 | lr : 0.19998086 
Step: 4 | Loss:  29.7969 | w0: 0.9625 | w1: 0.0375 | r0: 0.2007 | r1: 0.5603 | st0: 0.9365 | st1: 1.0178 | sd0: 0.9957 | sd1: 0.9933 | lr : 0.19998086 
Step: 0 | Loss:  13.2685 | w0: 0.3755 | w1: 0.6245 | r0: 0.1059 | r1: 0.5490 | st0: 1.1008 | st1: 1.1041 | sd0: 0.9782 | sd1: 1.0039 | lr : 0.19997009 
Step: 1 | Loss:  10.0303 | w0: 0.2835 | w1: 0.7165 | r0: 0.1989 | r1: 0.4996 | st0: 1.0054 | st1: 0.9650 | sd0: 0.9950 | sd1: 0.9875 | lr : 0.19997009 
Step: 2 | Loss:   5.6825 | w0: 0.6677 | w1: 0.3323 | r0: 0.8005 | r1: 0.5737 | st0: 0.9863 | st1: 0.9050 | sd0: 1.0094 | sd1: 0.9945 | lr : 0.19997009 
Step: 3 | Loss:   3.8609 | w0: 0.6308 | w1: 0.3692 | r0: 0.3832 | r1: 0.4195 | st0: 1.0207 | st1: 0.9602 | sd0: 1.0003 | sd1: 0.9943 | lr : 0.19997009 
Step: 4 | Loss:  53.0227 | w0: 0.9720 | w1: 0.0280 | r0: 0.1504 | r1: 0.5320 | st0: 0.9385 | st1: 1.0145 | sd0: 0.9961 | sd1: 0.9919 | lr : 0.19997009 
