Model already exists: ../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  84.5584 | w0: 0.5839 | w1: 0.4161 | r0: 0.3078 | r1: 0.6019 | st0: 1.0037 | st1: 1.0703 | sd0: 1.0042 | sd1: 0.9920 | lr : 0.20000000 
Step: 1 | Loss: 186.6906 | w0: 0.7850 | w1: 0.2150 | r0: 0.2179 | r1: 0.5818 | st0: 0.9117 | st1: 1.0174 | sd0: 0.9880 | sd1: 0.9882 | lr : 0.20000000 
tick 0     kimg 0.0       time 7s           sec/tick 4.3     sec/kimg 267.38  maintenance 3.2    gpumem 8.58   reserved 8.60  
Step: 0 | Loss:  64.6190 | w0: 0.7460 | w1: 0.2540 | r0: 0.2297 | r1: 0.5046 | st0: 1.0228 | st1: 1.0867 | sd0: 1.0085 | sd1: 0.9963 | lr : 0.19999880 
Step: 1 | Loss: 195.1812 | w0: 0.8609 | w1: 0.1391 | r0: 0.1763 | r1: 0.5166 | st0: 0.9226 | st1: 1.0304 | sd0: 0.9912 | sd1: 0.9914 | lr : 0.19999880 
Step: 0 | Loss:  86.9815 | w0: 0.8132 | w1: 0.1868 | r0: 0.1747 | r1: 0.4273 | st0: 1.0352 | st1: 1.0974 | sd0: 1.0099 | sd1: 0.9984 | lr : 0.19999521 
Step: 1 | Loss: 215.3001 | w0: 0.8809 | w1: 0.1191 | r0: 0.1399 | r1: 0.4846 | st0: 0.9281 | st1: 1.0204 | sd0: 0.9899 | sd1: 0.9889 | lr : 0.19999521 
Step: 0 | Loss:  85.9473 | w0: 0.8348 | w1: 0.1652 | r0: 0.1438 | r1: 0.3784 | st0: 1.0406 | st1: 1.1041 | sd0: 1.0094 | sd1: 0.9991 | lr : 0.19998923 
Step: 1 | Loss: 175.5606 | w0: 0.8760 | w1: 0.1240 | r0: 0.1093 | r1: 0.4763 | st0: 0.9277 | st1: 1.0083 | sd0: 0.9875 | sd1: 0.9861 | lr : 0.19998923 
Step: 0 | Loss:  64.8905 | w0: 0.8391 | w1: 0.1609 | r0: 0.1274 | r1: 0.3508 | st0: 1.0423 | st1: 1.1084 | sd0: 1.0078 | sd1: 0.9992 | lr : 0.19998086 
Step: 1 | Loss: 178.7610 | w0: 0.8641 | w1: 0.1359 | r0: 0.0858 | r1: 0.4798 | st0: 0.9262 | st1: 0.9954 | sd0: 0.9850 | sd1: 0.9833 | lr : 0.19998086 
Step: 0 | Loss:  38.1456 | w0: 0.8356 | w1: 0.1644 | r0: 0.1174 | r1: 0.3348 | st0: 1.0424 | st1: 1.1114 | sd0: 1.0058 | sd1: 0.9990 | lr : 0.19997009 
Step: 1 | Loss: 145.4569 | w0: 0.8439 | w1: 0.1561 | r0: 0.0678 | r1: 0.4965 | st0: 0.9224 | st1: 0.9817 | sd0: 0.9823 | sd1: 0.9803 | lr : 0.19997009 
Step: 0 | Loss:  18.8751 | w0: 0.8285 | w1: 0.1715 | r0: 0.1127 | r1: 0.3281 | st0: 1.0405 | st1: 1.1132 | sd0: 1.0037 | sd1: 0.9987 | lr : 0.19995694 
Step: 1 | Loss: 171.4485 | w0: 0.8694 | w1: 0.1306 | r0: 0.0597 | r1: 0.4850 | st0: 0.9184 | st1: 0.9761 | sd0: 0.9814 | sd1: 0.9785 | lr : 0.19995694 
Step: 0 | Loss:   9.7437 | w0: 0.8201 | w1: 0.1799 | r0: 0.1132 | r1: 0.3317 | st0: 1.0377 | st1: 1.1144 | sd0: 1.0019 | sd1: 0.9984 | lr : 0.19994139 
Step: 1 | Loss: 101.2533 | w0: 0.9049 | w1: 0.0951 | r0: 0.0562 | r1: 0.4523 | st0: 0.9156 | st1: 0.9772 | sd0: 0.9819 | sd1: 0.9776 | lr : 0.19994139 
Step: 0 | Loss:   8.3222 | w0: 0.8104 | w1: 0.1896 | r0: 0.1158 | r1: 0.3407 | st0: 1.0344 | st1: 1.1150 | sd0: 1.0001 | sd1: 0.9980 | lr : 0.19992345 
Step: 1 | Loss: 202.4739 | w0: 0.9305 | w1: 0.0695 | r0: 0.0540 | r1: 0.4117 | st0: 0.9133 | st1: 0.9822 | sd0: 0.9827 | sd1: 0.9770 | lr : 0.19992345 
