Model already exists: ../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/ffhq/edm-ffhq-64x64-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss: 169.3168 | w0: 0.5612 | w1: 0.4388 | r0: 0.3078 | r1: 0.6019 | st0: 0.9733 | st1: 0.9569 | sd0: 0.9880 | sd1: 0.9882 | lr : 0.20000000 
Step: 1 | Loss:  66.7649 | w0: 0.4163 | w1: 0.5837 | r0: 0.2179 | r1: 0.5818 | st0: 1.0483 | st1: 0.9845 | sd0: 1.0009 | sd1: 1.0176 | lr : 0.20000000 
Step: 2 | Loss: 244.8377 | w0: 0.5610 | w1: 0.4390 | r0: 0.5839 | r1: 0.3445 | st0: 1.0183 | st1: 0.9809 | sd0: 0.9779 | sd1: 1.0043 | lr : 0.20000000 
tick 0     kimg 0.0       time 8s           sec/tick 4.7     sec/kimg 293.27  maintenance 3.0    gpumem 11.85  reserved 11.88 
Step: 0 | Loss:  35.2952 | w0: 0.7794 | w1: 0.2206 | r0: 0.2077 | r1: 0.4818 | st0: 1.0003 | st1: 0.9805 | sd0: 0.9944 | sd1: 0.9947 | lr : 0.19999880 
Step: 1 | Loss:   5.4631 | w0: 0.6014 | w1: 0.3986 | r0: 0.1610 | r1: 0.4799 | st0: 1.0533 | st1: 0.9928 | sd0: 1.0062 | sd1: 1.0220 | lr : 0.19999880 
Step: 2 | Loss: 149.1211 | w0: 0.4022 | w1: 0.5978 | r0: 0.5044 | r1: 0.2760 | st0: 1.0023 | st1: 0.9969 | sd0: 0.9748 | sd1: 1.0083 | lr : 0.19999880 
Step: 0 | Loss:   3.4751 | w0: 0.8667 | w1: 0.1333 | r0: 0.1458 | r1: 0.4322 | st0: 1.0123 | st1: 0.9852 | sd0: 1.0002 | sd1: 0.9995 | lr : 0.19999521 
Step: 1 | Loss:   6.2554 | w0: 0.7176 | w1: 0.2824 | r0: 0.1272 | r1: 0.4013 | st0: 1.0581 | st1: 1.0025 | sd0: 1.0111 | sd1: 1.0257 | lr : 0.19999521 
Step: 2 | Loss: 101.9395 | w0: 0.2672 | w1: 0.7328 | r0: 0.4352 | r1: 0.2140 | st0: 1.0152 | st1: 1.0107 | sd0: 0.9771 | sd1: 1.0116 | lr : 0.19999521 
Step: 0 | Loss:  15.0747 | w0: 0.9072 | w1: 0.0928 | r0: 0.1055 | r1: 0.4169 | st0: 1.0044 | st1: 0.9771 | sd0: 1.0028 | sd1: 1.0025 | lr : 0.19998923 
Step: 1 | Loss:  12.2007 | w0: 0.8013 | w1: 0.1987 | r0: 0.1137 | r1: 0.3553 | st0: 1.0561 | st1: 1.0105 | sd0: 1.0107 | sd1: 1.0262 | lr : 0.19998923 
Step: 2 | Loss: 145.8544 | w0: 0.2479 | w1: 0.7521 | r0: 0.4496 | r1: 0.1612 | st0: 1.0091 | st1: 1.0100 | sd0: 0.9755 | sd1: 1.0096 | lr : 0.19998923 
Step: 0 | Loss:   6.9915 | w0: 0.9246 | w1: 0.0754 | r0: 0.0827 | r1: 0.4103 | st0: 0.9955 | st1: 0.9703 | sd0: 1.0015 | sd1: 1.0038 | lr : 0.19998086 
Step: 1 | Loss:   9.0976 | w0: 0.8441 | w1: 0.1559 | r0: 0.1104 | r1: 0.3326 | st0: 1.0445 | st1: 1.0110 | sd0: 1.0085 | sd1: 1.0255 | lr : 0.19998086 
Step: 2 | Loss: 132.4398 | w0: 0.2059 | w1: 0.7941 | r0: 0.4932 | r1: 0.1278 | st0: 0.9985 | st1: 1.0068 | sd0: 0.9734 | sd1: 1.0070 | lr : 0.19998086 
Step: 0 | Loss:   2.7892 | w0: 0.9349 | w1: 0.0651 | r0: 0.0686 | r1: 0.4102 | st0: 0.9863 | st1: 0.9644 | sd0: 0.9994 | sd1: 1.0045 | lr : 0.19997009 
Step: 1 | Loss:   5.2342 | w0: 0.8538 | w1: 0.1462 | r0: 0.1205 | r1: 0.3271 | st0: 1.0278 | st1: 1.0059 | sd0: 1.0061 | sd1: 1.0248 | lr : 0.19997009 
Step: 2 | Loss:  88.3839 | w0: 0.1326 | w1: 0.8674 | r0: 0.4871 | r1: 0.1339 | st0: 0.9969 | st1: 1.0040 | sd0: 0.9727 | sd1: 1.0077 | lr : 0.19997009 
Step: 0 | Loss:   7.4071 | w0: 0.9344 | w1: 0.0656 | r0: 0.0630 | r1: 0.4240 | st0: 0.9751 | st1: 0.9587 | sd0: 0.9969 | sd1: 1.0049 | lr : 0.19995694 
Step: 1 | Loss:   3.1061 | w0: 0.8368 | w1: 0.1632 | r0: 0.1453 | r1: 0.3402 | st0: 1.0093 | st1: 0.9945 | sd0: 1.0035 | sd1: 1.0241 | lr : 0.19995694 
Step: 2 | Loss:  89.1196 | w0: 0.0870 | w1: 0.9130 | r0: 0.4834 | r1: 0.1483 | st0: 0.9949 | st1: 0.9972 | sd0: 0.9720 | sd1: 1.0082 | lr : 0.19995694 
