Model already exists: ../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:  64.3143 | w0: 0.5839 | w1: 0.4161 | r0: 0.3078 | r1: 0.6019 | st0: 1.0037 | st1: 1.0703 | sd0: 1.0042 | sd1: 0.9920 | lr : 0.20000000 
Step: 1 | Loss: 213.3474 | w0: 0.7850 | w1: 0.2150 | r0: 0.2179 | r1: 0.5818 | st0: 0.9117 | st1: 1.0174 | sd0: 0.9880 | sd1: 0.9882 | lr : 0.20000000 
tick 0     kimg 0.0       time 11s          sec/tick 5.0     sec/kimg 310.70  maintenance 6.4    gpumem 12.88  reserved 12.94 
Step: 0 | Loss:  52.3201 | w0: 0.7564 | w1: 0.2436 | r0: 0.2318 | r1: 0.5033 | st0: 1.0166 | st1: 1.0863 | sd0: 1.0088 | sd1: 0.9966 | lr : 0.19999880 
Step: 1 | Loss: 174.4741 | w0: 0.8609 | w1: 0.1391 | r0: 0.1763 | r1: 0.5166 | st0: 0.9226 | st1: 1.0304 | sd0: 0.9912 | sd1: 0.9852 | lr : 0.19999880 
Step: 0 | Loss:  31.1354 | w0: 0.7790 | w1: 0.2210 | r0: 0.1739 | r1: 0.4295 | st0: 1.0271 | st1: 1.0956 | sd0: 1.0066 | sd1: 0.9956 | lr : 0.19999521 
Step: 1 | Loss: 190.5176 | w0: 0.8792 | w1: 0.1208 | r0: 0.1429 | r1: 0.4952 | st0: 0.9228 | st1: 1.0201 | sd0: 0.9890 | sd1: 0.9824 | lr : 0.19999521 
Step: 0 | Loss:   8.9739 | w0: 0.7223 | w1: 0.2777 | r0: 0.1480 | r1: 0.4169 | st0: 1.0381 | st1: 1.0993 | sd0: 1.0031 | sd1: 0.9926 | lr : 0.19998923 
Step: 1 | Loss: 172.0350 | w0: 0.8594 | w1: 0.1406 | r0: 0.1179 | r1: 0.5156 | st0: 0.9307 | st1: 1.0077 | sd0: 0.9862 | sd1: 0.9795 | lr : 0.19998923 
Step: 0 | Loss:  29.9049 | w0: 0.6250 | w1: 0.3750 | r0: 0.1401 | r1: 0.4402 | st0: 1.0481 | st1: 1.1002 | sd0: 0.9996 | sd1: 0.9895 | lr : 0.19998086 
Step: 1 | Loss: 230.8768 | w0: 0.8665 | w1: 0.1335 | r0: 0.1054 | r1: 0.4816 | st0: 0.9402 | st1: 1.0135 | sd0: 0.9861 | sd1: 0.9795 | lr : 0.19998086 
Step: 0 | Loss:  69.8907 | w0: 0.5364 | w1: 0.4636 | r0: 0.1326 | r1: 0.4626 | st0: 1.0554 | st1: 1.0999 | sd0: 0.9969 | sd1: 0.9874 | lr : 0.19997009 
Step: 1 | Loss: 222.4067 | w0: 0.8872 | w1: 0.1128 | r0: 0.0970 | r1: 0.4391 | st0: 0.9498 | st1: 1.0184 | sd0: 0.9862 | sd1: 0.9794 | lr : 0.19997009 
Step: 0 | Loss: 102.9535 | w0: 0.4892 | w1: 0.5108 | r0: 0.1276 | r1: 0.4874 | st0: 1.0586 | st1: 1.0974 | sd0: 0.9953 | sd1: 0.9868 | lr : 0.19995694 
Step: 1 | Loss: 251.0598 | w0: 0.8975 | w1: 0.1025 | r0: 0.0907 | r1: 0.4235 | st0: 0.9594 | st1: 1.0225 | sd0: 0.9864 | sd1: 0.9795 | lr : 0.19995694 
Step: 0 | Loss: 110.0614 | w0: 0.4741 | w1: 0.5259 | r0: 0.1244 | r1: 0.5099 | st0: 1.0602 | st1: 1.0939 | sd0: 0.9945 | sd1: 0.9873 | lr : 0.19994139 
Step: 1 | Loss: 244.9402 | w0: 0.9150 | w1: 0.0850 | r0: 0.0853 | r1: 0.4003 | st0: 0.9686 | st1: 1.0258 | sd0: 0.9867 | sd1: 0.9795 | lr : 0.19994139 
Step: 0 | Loss: 103.6011 | w0: 0.4780 | w1: 0.5220 | r0: 0.1219 | r1: 0.5316 | st0: 1.0610 | st1: 1.0903 | sd0: 0.9942 | sd1: 0.9886 | lr : 0.19992345 
Step: 1 | Loss: 224.2172 | w0: 0.9271 | w1: 0.0729 | r0: 0.0807 | r1: 0.3825 | st0: 0.9778 | st1: 1.0286 | sd0: 0.9871 | sd1: 0.9795 | lr : 0.19992345 
Step: 0 | Loss:  86.9527 | w0: 0.4925 | w1: 0.5075 | r0: 0.1208 | r1: 0.5500 | st0: 1.0602 | st1: 1.0864 | sd0: 0.9943 | sd1: 0.9904 | lr : 0.19990312 
Step: 1 | Loss: 254.0157 | w0: 0.9300 | w1: 0.0700 | r0: 0.0767 | r1: 0.3829 | st0: 0.9869 | st1: 1.0312 | sd0: 0.9872 | sd1: 0.9796 | lr : 0.19990312 
Step: 0 | Loss:  57.6083 | w0: 0.5209 | w1: 0.4791 | r0: 0.1198 | r1: 0.5513 | st0: 1.0593 | st1: 1.0843 | sd0: 0.9947 | sd1: 0.9927 | lr : 0.19988039 
Step: 1 | Loss: 205.1393 | w0: 0.9355 | w1: 0.0645 | r0: 0.0739 | r1: 0.3775 | st0: 0.9943 | st1: 1.0334 | sd0: 0.9876 | sd1: 0.9798 | lr : 0.19988039 
Step: 0 | Loss:  44.2984 | w0: 0.5652 | w1: 0.4348 | r0: 0.1162 | r1: 0.5354 | st0: 1.0607 | st1: 1.0857 | sd0: 0.9954 | sd1: 0.9950 | lr : 0.19985528 
Step: 1 | Loss: 193.5268 | w0: 0.9390 | w1: 0.0610 | r0: 0.0719 | r1: 0.3764 | st0: 0.9995 | st1: 1.0351 | sd0: 0.9877 | sd1: 0.9798 | lr : 0.19985528 
Step: 0 | Loss:  20.8322 | w0: 0.6148 | w1: 0.3852 | r0: 0.1105 | r1: 0.5086 | st0: 1.0632 | st1: 1.0883 | sd0: 0.9962 | sd1: 0.9976 | lr : 0.19982778 
Step: 1 | Loss: 172.6865 | w0: 0.9466 | w1: 0.0534 | r0: 0.0699 | r1: 0.3619 | st0: 1.0049 | st1: 1.0367 | sd0: 0.9887 | sd1: 0.9801 | lr : 0.19982778 
Step: 0 | Loss:   9.5556 | w0: 0.6659 | w1: 0.3341 | r0: 0.1023 | r1: 0.4770 | st0: 1.0672 | st1: 1.0910 | sd0: 0.9972 | sd1: 1.0001 | lr : 0.19979789 
Step: 1 | Loss: 189.6906 | w0: 0.9578 | w1: 0.0422 | r0: 0.0691 | r1: 0.3338 | st0: 1.0053 | st1: 1.0374 | sd0: 0.9906 | sd1: 0.9807 | lr : 0.19979789 
Step: 0 | Loss:   7.1318 | w0: 0.7121 | w1: 0.2879 | r0: 0.0924 | r1: 0.4511 | st0: 1.0737 | st1: 1.0936 | sd0: 0.9983 | sd1: 1.0024 | lr : 0.19976562 
Step: 1 | Loss: 120.6000 | w0: 0.9686 | w1: 0.0314 | r0: 0.0695 | r1: 0.3009 | st0: 0.9998 | st1: 1.0364 | sd0: 0.9936 | sd1: 0.9819 | lr : 0.19976562 
Step: 0 | Loss:  11.6949 | w0: 0.7450 | w1: 0.2550 | r0: 0.0845 | r1: 0.4327 | st0: 1.0793 | st1: 1.0954 | sd0: 0.9994 | sd1: 1.0045 | lr : 0.19973096 
Step: 1 | Loss: 147.3352 | w0: 0.9755 | w1: 0.0245 | r0: 0.0734 | r1: 0.2740 | st0: 0.9937 | st1: 1.0350 | sd0: 0.9971 | sd1: 0.9834 | lr : 0.19973096 
Step: 0 | Loss:   8.1755 | w0: 0.7871 | w1: 0.2129 | r0: 0.0783 | r1: 0.4265 | st0: 1.0843 | st1: 1.0957 | sd0: 0.9989 | sd1: 1.0050 | lr : 0.19969391 
Step: 1 | Loss: 123.0044 | w0: 0.9805 | w1: 0.0195 | r0: 0.0740 | r1: 0.2501 | st0: 0.9838 | st1: 1.0309 | sd0: 0.9951 | sd1: 0.9820 | lr : 0.19969391 
Step: 0 | Loss:   4.5692 | w0: 0.8157 | w1: 0.1843 | r0: 0.0759 | r1: 0.4407 | st0: 1.0858 | st1: 1.0936 | sd0: 0.9979 | sd1: 1.0045 | lr : 0.19965448 
Step: 1 | Loss: 166.5073 | w0: 0.9835 | w1: 0.0165 | r0: 0.0786 | r1: 0.2339 | st0: 0.9751 | st1: 1.0273 | sd0: 0.9950 | sd1: 0.9818 | lr : 0.19965448 
Step: 0 | Loss:   4.3236 | w0: 0.8139 | w1: 0.1861 | r0: 0.0789 | r1: 0.4724 | st0: 1.0815 | st1: 1.0892 | sd0: 0.9979 | sd1: 1.0047 | lr : 0.19961266 
Step: 1 | Loss: 137.7158 | w0: 0.9855 | w1: 0.0145 | r0: 0.0853 | r1: 0.2212 | st0: 0.9711 | st1: 1.0243 | sd0: 0.9952 | sd1: 0.9818 | lr : 0.19961266 
Step: 0 | Loss:   3.4537 | w0: 0.7973 | w1: 0.2027 | r0: 0.0846 | r1: 0.5123 | st0: 1.0737 | st1: 1.0828 | sd0: 0.9983 | sd1: 1.0052 | lr : 0.19956846 
Step: 1 | Loss: 117.2414 | w0: 0.9869 | w1: 0.0132 | r0: 0.0946 | r1: 0.2111 | st0: 0.9755 | st1: 1.0217 | sd0: 0.9956 | sd1: 0.9819 | lr : 0.19956846 
Step: 0 | Loss:   6.4778 | w0: 0.7752 | w1: 0.2248 | r0: 0.0914 | r1: 0.5389 | st0: 1.0632 | st1: 1.0778 | sd0: 0.9991 | sd1: 1.0058 | lr : 0.19952188 
Step: 1 | Loss: 163.2546 | w0: 0.9879 | w1: 0.0121 | r0: 0.1047 | r1: 0.2031 | st0: 0.9777 | st1: 1.0191 | sd0: 0.9960 | sd1: 0.9820 | lr : 0.19952188 
Step: 0 | Loss:   6.4420 | w0: 0.7826 | w1: 0.2174 | r0: 0.0986 | r1: 0.5474 | st0: 1.0558 | st1: 1.0774 | sd0: 0.9986 | sd1: 1.0054 | lr : 0.19947291 
Step: 1 | Loss: 162.4781 | w0: 0.9888 | w1: 0.0112 | r0: 0.1075 | r1: 0.1955 | st0: 0.9752 | st1: 1.0164 | sd0: 0.9947 | sd1: 0.9814 | lr : 0.19947291 
Step: 0 | Loss:   7.4417 | w0: 0.8089 | w1: 0.1911 | r0: 0.0992 | r1: 0.5631 | st0: 1.0550 | st1: 1.0792 | sd0: 0.9975 | sd1: 1.0045 | lr : 0.19942157 
Step: 1 | Loss: 108.6449 | w0: 0.9895 | w1: 0.0105 | r0: 0.1115 | r1: 0.1898 | st0: 0.9710 | st1: 1.0140 | sd0: 0.9943 | sd1: 0.9811 | lr : 0.19942157 
Step: 0 | Loss:   9.7042 | w0: 0.8225 | w1: 0.1775 | r0: 0.0974 | r1: 0.5897 | st0: 1.0552 | st1: 1.0801 | sd0: 0.9971 | sd1: 1.0041 | lr : 0.19936785 
Step: 1 | Loss: 146.6775 | w0: 0.9900 | w1: 0.0100 | r0: 0.1148 | r1: 0.1850 | st0: 0.9678 | st1: 1.0121 | sd0: 0.9941 | sd1: 0.9810 | lr : 0.19936785 
Step: 0 | Loss:  11.3620 | w0: 0.8234 | w1: 0.1766 | r0: 0.0987 | r1: 0.6200 | st0: 1.0538 | st1: 1.0788 | sd0: 0.9970 | sd1: 1.0039 | lr : 0.19931176 
Step: 1 | Loss: 170.6361 | w0: 0.9905 | w1: 0.0095 | r0: 0.1191 | r1: 0.1810 | st0: 0.9667 | st1: 1.0105 | sd0: 0.9943 | sd1: 0.9810 | lr : 0.19931176 
Step: 0 | Loss:   4.7797 | w0: 0.8173 | w1: 0.1827 | r0: 0.0948 | r1: 0.6582 | st0: 1.0539 | st1: 1.0742 | sd0: 0.9973 | sd1: 1.0040 | lr : 0.19925328 
