Model already exists: ../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/imagenet64/edm-imagenet-64x64-cond-adm.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss: 112.6388 | w0: 0.3866 | w1: 0.6134 | r0: 0.3078 | r1: 0.6019 | st0: 1.0350 | st1: 1.0511 | sd0: 0.9558 | sd1: 1.0087 | lr : 0.10000000 
Step: 1 | Loss:  90.4086 | w0: 0.2897 | w1: 0.7103 | r0: 0.2179 | r1: 0.5818 | st0: 0.9980 | st1: 0.9858 | sd0: 0.9867 | sd1: 0.9784 | lr : 0.10000000 
Step: 2 | Loss:  31.1766 | w0: 0.5788 | w1: 0.4212 | r0: 0.5839 | r1: 0.3445 | st0: 1.0308 | st1: 0.9298 | sd0: 1.0241 | sd1: 0.9923 | lr : 0.10000000 
Step: 3 | Loss:  18.5914 | w0: 0.7786 | w1: 0.2214 | r0: 0.2738 | r1: 0.2770 | st0: 1.0778 | st1: 0.9899 | sd0: 1.0092 | sd1: 0.9905 | lr : 0.10000000 
Step: 4 | Loss: 195.7079 | w0: 0.5821 | w1: 0.4179 | r0: 0.5186 | r1: 0.8128 | st0: 0.9288 | st1: 1.0026 | sd0: 0.9884 | sd1: 0.9824 | lr : 0.10000000 
tick 0     kimg 0.0       time 25s          sec/tick 14.0    sec/kimg 876.37  maintenance 10.7   gpumem 19.98  reserved 20.06 
Step: 0 | Loss:  47.9544 | w0: 0.2116 | w1: 0.7884 | r0: 0.2414 | r1: 0.5205 | st0: 1.0466 | st1: 1.0639 | sd0: 0.9648 | sd1: 1.0191 | lr : 0.09999943 
Step: 1 | Loss:   4.8153 | w0: 0.4502 | w1: 0.5498 | r0: 0.1661 | r1: 0.4935 | st0: 1.0061 | st1: 0.9950 | sd0: 0.9958 | sd1: 0.9874 | lr : 0.09999943 
Step: 2 | Loss:   8.1898 | w0: 0.7398 | w1: 0.2602 | r0: 0.5257 | r1: 0.2860 | st0: 1.0482 | st1: 0.9450 | sd0: 1.0297 | sd1: 0.9980 | lr : 0.09999943 
Step: 3 | Loss:  12.6146 | w0: 0.7691 | w1: 0.2309 | r0: 0.2186 | r1: 0.2529 | st0: 1.0901 | st1: 0.9854 | sd0: 1.0079 | sd1: 0.9892 | lr : 0.09999943 
Step: 4 | Loss: 103.5442 | w0: 0.4774 | w1: 0.5226 | r0: 0.5709 | r1: 0.8428 | st0: 0.9198 | st1: 0.9921 | sd0: 0.9832 | sd1: 0.9773 | lr : 0.09999943 
Step: 0 | Loss: 104.4730 | w0: 0.1725 | w1: 0.8275 | r0: 0.2467 | r1: 0.5145 | st0: 1.0410 | st1: 1.0617 | sd0: 0.9680 | sd1: 1.0204 | lr : 0.09999773 
Step: 1 | Loss:  16.6937 | w0: 0.5450 | w1: 0.4550 | r0: 0.1391 | r1: 0.4381 | st0: 1.0002 | st1: 0.9894 | sd0: 0.9990 | sd1: 0.9917 | lr : 0.09999773 
Step: 2 | Loss:  10.3945 | w0: 0.8068 | w1: 0.1932 | r0: 0.5039 | r1: 0.2605 | st0: 1.0580 | st1: 0.9541 | sd0: 1.0306 | sd1: 0.9996 | lr : 0.09999773 
Step: 3 | Loss:  11.0782 | w0: 0.7398 | w1: 0.2602 | r0: 0.1902 | r1: 0.2455 | st0: 1.0966 | st1: 0.9796 | sd0: 1.0056 | sd1: 0.9868 | lr : 0.09999773 
Step: 4 | Loss: 215.2385 | w0: 0.5562 | w1: 0.4438 | r0: 0.5426 | r1: 0.8184 | st0: 0.9215 | st1: 0.9807 | sd0: 0.9822 | sd1: 0.9721 | lr : 0.09999773 
Step: 0 | Loss:  76.3163 | w0: 0.1733 | w1: 0.8267 | r0: 0.2403 | r1: 0.4854 | st0: 1.0418 | st1: 1.0664 | sd0: 0.9684 | sd1: 1.0183 | lr : 0.09999490 
Step: 1 | Loss:  12.2966 | w0: 0.5616 | w1: 0.4384 | r0: 0.1319 | r1: 0.4272 | st0: 0.9926 | st1: 0.9832 | sd0: 0.9999 | sd1: 0.9945 | lr : 0.09999490 
Step: 2 | Loss:   6.5191 | w0: 0.8542 | w1: 0.1458 | r0: 0.4889 | r1: 0.2424 | st0: 1.0560 | st1: 0.9593 | sd0: 1.0327 | sd1: 1.0029 | lr : 0.09999490 
Step: 3 | Loss:   3.1483 | w0: 0.7914 | w1: 0.2086 | r0: 0.2100 | r1: 0.2760 | st0: 1.1022 | st1: 0.9860 | sd0: 1.0092 | sd1: 0.9904 | lr : 0.09999490 
Step: 4 | Loss: 197.1782 | w0: 0.6577 | w1: 0.3423 | r0: 0.5021 | r1: 0.7823 | st0: 0.9273 | st1: 0.9730 | sd0: 0.9858 | sd1: 0.9678 | lr : 0.09999490 
Step: 0 | Loss: 105.0901 | w0: 0.1587 | w1: 0.8413 | r0: 0.2297 | r1: 0.4517 | st0: 1.0469 | st1: 1.0740 | sd0: 0.9697 | sd1: 1.0192 | lr : 0.09999093 
Step: 1 | Loss:  24.5939 | w0: 0.5220 | w1: 0.4780 | r0: 0.1468 | r1: 0.4548 | st0: 0.9838 | st1: 0.9766 | sd0: 1.0033 | sd1: 0.9982 | lr : 0.09999093 
Step: 2 | Loss:  13.5511 | w0: 0.8875 | w1: 0.1125 | r0: 0.4793 | r1: 0.2298 | st0: 1.0507 | st1: 0.9623 | sd0: 1.0358 | sd1: 1.0065 | lr : 0.09999093 
Step: 3 | Loss:   9.9495 | w0: 0.8310 | w1: 0.1690 | r0: 0.2306 | r1: 0.3031 | st0: 1.1058 | st1: 0.9920 | sd0: 1.0125 | sd1: 0.9937 | lr : 0.09999093 
Step: 4 | Loss: 192.0154 | w0: 0.7540 | w1: 0.2460 | r0: 0.4559 | r1: 0.7374 | st0: 0.9273 | st1: 0.9617 | sd0: 0.9868 | sd1: 0.9626 | lr : 0.09999093 
Step: 0 | Loss:  69.9714 | w0: 0.1687 | w1: 0.8313 | r0: 0.2168 | r1: 0.4101 | st0: 1.0524 | st1: 1.0821 | sd0: 0.9689 | sd1: 1.0175 | lr : 0.09998583 
Step: 1 | Loss:  18.4918 | w0: 0.5099 | w1: 0.4901 | r0: 0.1534 | r1: 0.4665 | st0: 0.9771 | st1: 0.9716 | sd0: 1.0047 | sd1: 0.9997 | lr : 0.09998583 
Step: 2 | Loss:  11.6219 | w0: 0.9034 | w1: 0.0966 | r0: 0.4724 | r1: 0.2224 | st0: 1.0467 | st1: 0.9641 | sd0: 1.0375 | sd1: 1.0086 | lr : 0.09998583 
Step: 3 | Loss:   6.4682 | w0: 0.8522 | w1: 0.1478 | r0: 0.2437 | r1: 0.3200 | st0: 1.1077 | st1: 0.9957 | sd0: 1.0144 | sd1: 0.9958 | lr : 0.09998583 
Step: 4 | Loss: 141.3408 | w0: 0.8014 | w1: 0.1986 | r0: 0.4420 | r1: 0.7068 | st0: 0.9217 | st1: 0.9522 | sd0: 0.9836 | sd1: 0.9586 | lr : 0.09998583 
Step: 0 | Loss:  23.9641 | w0: 0.1944 | w1: 0.8056 | r0: 0.2063 | r1: 0.3786 | st0: 1.0566 | st1: 1.0875 | sd0: 0.9670 | sd1: 1.0146 | lr : 0.09997960 
Step: 1 | Loss:   8.2737 | w0: 0.5101 | w1: 0.4899 | r0: 0.1550 | r1: 0.4693 | st0: 0.9698 | st1: 0.9667 | sd0: 1.0050 | sd1: 0.9999 | lr : 0.09997960 
Step: 2 | Loss:   8.7331 | w0: 0.9110 | w1: 0.0890 | r0: 0.4658 | r1: 0.2179 | st0: 1.0431 | st1: 0.9651 | sd0: 1.0382 | sd1: 1.0097 | lr : 0.09997960 
Step: 3 | Loss:   4.8854 | w0: 0.8639 | w1: 0.1361 | r0: 0.2514 | r1: 0.3299 | st0: 1.1086 | st1: 0.9980 | sd0: 1.0156 | sd1: 0.9970 | lr : 0.09997960 
Step: 4 | Loss: 127.2497 | w0: 0.8336 | w1: 0.1664 | r0: 0.4151 | r1: 0.6710 | st0: 0.9115 | st1: 0.9403 | sd0: 0.9786 | sd1: 0.9549 | lr : 0.09997960 
Step: 0 | Loss:   3.8062 | w0: 0.2180 | w1: 0.7820 | r0: 0.2058 | r1: 0.3707 | st0: 1.0599 | st1: 1.0903 | sd0: 0.9654 | sd1: 1.0122 | lr : 0.09997224 
