Model already exists: ../epd-solver/src/lsun_bedroom_ldm/model.ckpt
The vq-f4 model already exists: ../epd-solver/models/ldm_models/first_stage_models/vq-f4/model.ckpt
Loading the pre-trained diffusion model from "../epd-solver/src/lsun_bedroom_ldm/model.ckpt"...
Global Step: 1900000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 274.06 M params.
Keeping EMAs of 370.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 3, 64, 64) = 12288 dimensions.
making attention of type 'vanilla' with 512 in_channels
Restored from models/ldm_models/first_stage_models/vq-f4/model.ckpt with 0 missing and 55 unexpected keys
Training LatentDiffusion as an unconditional model.
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss: 381.8022 | w0: 0.6489 | w1: 0.3511 | r0: 0.6147 | r1: 0.2085 | sd0: 0.9846 | sd1: 0.9884 | lr : 0.10000000 
Step: 1 | Loss: 205.8923 | w0: 0.5057 | w1: 0.4943 | r0: 0.4591 | r1: 0.3564 | sd0: 0.9828 | sd1: 1.0026 | lr : 0.10000000 
tick 0     kimg 0.0       time 1m 10s       sec/tick 21.8    sec/kimg 1363.21 maintenance 48.6   gpumem 22.57  reserved 22.65 
Step: 0 | Loss: 233.5734 | w0: 0.5671 | w1: 0.4329 | r0: 0.5720 | r1: 0.1855 | sd0: 0.9867 | sd1: 0.9906 | lr : 0.09999943 
Step: 1 | Loss: 193.9828 | w0: 0.4400 | w1: 0.5600 | r0: 0.4265 | r1: 0.3268 | sd0: 0.9843 | sd1: 1.0042 | lr : 0.09999943 
Step: 0 | Loss: 125.6587 | w0: 0.4883 | w1: 0.5117 | r0: 0.5364 | r1: 0.1654 | sd0: 0.9887 | sd1: 0.9928 | lr : 0.09999773 
Step: 1 | Loss: 144.3439 | w0: 0.3875 | w1: 0.6125 | r0: 0.4024 | r1: 0.2976 | sd0: 0.9857 | sd1: 1.0058 | lr : 0.09999773 
Step: 0 | Loss:  77.3174 | w0: 0.4118 | w1: 0.5882 | r0: 0.5031 | r1: 0.1497 | sd0: 0.9907 | sd1: 0.9949 | lr : 0.09999490 
Step: 1 | Loss: 200.1565 | w0: 0.3333 | w1: 0.6667 | r0: 0.3751 | r1: 0.2745 | sd0: 0.9872 | sd1: 1.0075 | lr : 0.09999490 
Step: 0 | Loss:  36.6099 | w0: 0.3448 | w1: 0.6552 | r0: 0.4746 | r1: 0.1415 | sd0: 0.9926 | sd1: 0.9972 | lr : 0.09999093 
Step: 1 | Loss: 130.2520 | w0: 0.2780 | w1: 0.7220 | r0: 0.3472 | r1: 0.2508 | sd0: 0.9888 | sd1: 1.0091 | lr : 0.09999093 
