Model already exists: ../EPD/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../EPD/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
/home/perry/miniconda3/envs/edm/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
Constructing predictor...
Setting up optimizer...
Training for 10 kimg...

/home/perry/ziyul6/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/home/perry/ziyul6/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:   6.6046 | w0: 0.5000 | w1: 0.5000 | sig0: 0.0500 | sig1: 0.0500 | lr : 0.00500000 
Step: 1 | Loss:   8.4617 | w0: 0.5000 | w1: 0.5000 | sig0: 0.0500 | sig1: 0.0500 | lr : 0.00500000 
Step: 2 | Loss: 124.2082 | w0: 0.5000 | w1: 0.5000 | sig0: 0.0500 | sig1: 0.0500 | lr : 0.00500000 
tick 0     kimg 0.0       time 11s          sec/tick 10.3    sec/kimg 1292.98 maintenance 0.8    gpumem 6.33   reserved 6.36  
Step: 0 | Loss:   5.1243 | w0: 0.5026 | w1: 0.4974 | sig0: 0.0497 | sig1: 0.0497 | lr : 0.00500000 
Step: 1 | Loss:   6.6333 | w0: 0.4952 | w1: 0.5048 | sig0: 0.0497 | sig1: 0.0500 | lr : 0.00500000 
Step: 2 | Loss: 111.7170 | w0: 0.5040 | w1: 0.4960 | sig0: 0.0498 | sig1: 0.0498 | lr : 0.00500000 
Step: 0 | Loss:   4.8185 | w0: 0.5018 | w1: 0.4982 | sig0: 0.0494 | sig1: 0.0494 | lr : 0.00500000 
Step: 1 | Loss:   5.9169 | w0: 0.4912 | w1: 0.5088 | sig0: 0.0495 | sig1: 0.0502 | lr : 0.00500000 
Step: 2 | Loss: 124.9763 | w0: 0.5015 | w1: 0.4985 | sig0: 0.0496 | sig1: 0.0496 | lr : 0.00500000 
Step: 0 | Loss:   3.2639 | w0: 0.5048 | w1: 0.4952 | sig0: 0.0493 | sig1: 0.0491 | lr : 0.00500000 
